ISIN;nom;ticker
DE000A0KPPR7;Nabaltec AG;NTG
DE000A0LBFE4;Mevis Medical Solut;M3V
DE000A0LBKW6;UET United Electronic Technology AG;CFC
DE000A0LD2U1;alstria office REIT-AG;AOX
DE000A0LD6E6;Gerresheimer AG;GXI
DE000A0LR4P1;HWA AG;H9W
DE000A0LR936;Steico SE;ST5
DE000A0LR9G9;Exasol AG;EXL
DE000A0M93V6;Advanced Blockchain AG;BWQ
DE000A0MSN11;Nynomic AG;M7U
DE000A0MVLS8;EnviTec Biogas AG;ETG
DE000A0MZ4B0;Delignit AG;DLX
DE000A0N4N52;NFON AG;NFN
DE000A0S8488;Hamburger Hafen und;HHFA
DE000A0SMU87;Northern Data AG;NB2
DE000A0STSQ8;M1 Kliniken AG;M12
DE000A0STWH9;Deutsche Eigenheim Union AG;JZ6
DE000A0TGJ55;Varta AG;VAR1
DE000A0V9LA7;DATRON AG;DAR
DE000A0WMPJ6;Aixtron SE NA;AIXA
DE000A0XFSF0;DEMIRE Real Estate ;DMRE
DE000A0XFWK2;SHS VIVEON AG;SHWK
DE000A0XYG76;Deutsche Rohstoff AG;DR0
DE000A0XYGA7;Technotrans AG;TTR1
DE000A0XYHT5;IBU tec advanced materials AG;IBU
DE000A0Z1JH9;PSI AG Gesellschaft;PSAN
DE000A0Z23Q5;Adesso AG;ADN1
DE000A0Z26C8;GORE German Office Real Estate AG;GAG
DE000A0Z2Y48;Verianos SE;VROS
DE000A0Z2ZZ5;Freenet AG;FNTN
DE000A11Q059;Elumeo SE;ELB
DE000A11QLU3;UniDevice AG;UDC
DE000A11QVV0;Heidelberg Pharma AG;HPHA
DE000A11QW68;7C Solarparken AG;HRPK
DE000A12DM80;Scout24 Holding GmbH;G24
DE000A12UK08;Mountain Alliance AG;ECF
DE000A12UP37;NorCom Information Technology AG;NC5A
DE000A12UPJ7;Pantaflix AG;PAL
DE000A13SUL5;Defama Deutsche Fachmarkt AG;DEF
DE000A13SX22;Hella KGaA Hueck & ;HLE
DE000A14KRD3;Deutsche Konsum REIT-AG;DKG
DE000A161077;Ernst Russ AG;HXCK
DE000A161408;HelloFresh AG;HFG
DE000A161N14;Your Family Entertainment AG;RTV
DE000A161N30;Grenkeleasing AG;GLJ
DE000A161NR7;NAGA Group AG;N4G
DE000A1681X5;Singulus Technologies AG;SNG
