ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
IT0001447348;MIT.MI;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.mittel.it/;Mittel S.p.A.;1,755;4,16;0,42;0,39;0,64;2,85
NL0009312842;BFE.SG;;;https://twitter.com/YahooFinance;;0,0345;0;0;0;0,96;0
GB00BY7QYJ50;GROW.L;;;https://issgovernance.com/quickscore;Molten Ventures Ord;320;0;0;0;0,94;0
IT0004195308;MOL.MI;Financial Services;Credit Services;https://www.moltiplygroup.com/;Moltiply Group S.p.A.;40,1;21,58;1,86;1,55;0,38;0,03
FR001400H3A0;ALMCE.PA;Industrials;Specialty Business Services;https://www.moncourtierenergie.com/;Mon Courtier Energie Groupe S.A.;6,36;4,54;1,4;0,97;0,72;0
IT0004965148;MONC.MI;Consumer Cyclical;Apparel Manufacturing;https://www.monclergroup.com/;Moncler S.p.A.;51,34;12,17;4,22;3,77;0,8;0,02
IT0001469383;MN.MI;Communication Services;Publishing;https://www.gruppomondadori.it/;Arnoldo Mondadori Editore S.p.A.;2,175;3,44;0,63;0,41;0,27;3,13
IT0001447785;MTV.MI;Communication Services;Entertainment;https://www.mondotv.it/;Mondo TV S.p.A.;0,1294;0,29;0,45;0,33;0,52;0
FR0011443266;MTVFR.MI;Communication Services;Entertainment;https://fr.mondotvgroup.com/;Mondo TV France Société Anonyme;0,016;0,01;1,6;0,8;0,52;0
IT0005338139;MNL.MI;Consumer Cyclical;Apparel Manufacturing;https://group.monnalisa.eu/;Monnalisa S.p.A.;0,84;12,47;0,07;0,06;0,26;0
IT0000066016;MON.MI;Communication Services;Publishing;https://www.monrif.it/;Monrif S.p.A.;0,05;0,82;0,06;0,05;0,1;0
BE0003853703;MONT.BR;Real Estate;REIT - Industrial;https://www.montea.com/;Montea Comm. VA;64;114,44;0,56;1,36;0,61;0,07
ES0105549002;MLMTP.PA;Real Estate;REIT - Industrial;https://www.montepino.net/;Montepino Logística, SOCIMI, S.A.;9,3;0;0;0;0;0
NL0000488153;MOP.BR;Financial Services;Asset Management;https://www.mopoli.nl/;Palmboomen Cultuur Maatschappij Mopoli (Palmeraies De Mopoli) N.V.;244;0;0;0;1,02;0
CWN814651014;MORE.AS;Industrials;Staffing & Employment Services;https://www.morefieldgroup.nl/;Morefield Group N.V.;0,51;4,9;0,1;0,09;0,29;0
DE0006632003;MPSYF;;;https://www.morphosys.com/;MorphoSys AG;73,27;82,7;0,89;0,99;0,03;0
NO0010694029;NO0010694029.SG;;;https://twitter.com/YahooFinance;;0,76;0;0;0;0;0
PTMEN0AE0005;EGL.LS;Industrials;Engineering & Construction;https://www.mota-engil.com/;Mota-Engil, SGPS, S.A.;2,82;26,61;0,11;0,07;0,03;1,39
GB00BMXH3352;MTRK.AS;Technology;Software - Application;https://www.motork.io/;MotorK plc;5,54;1,1;5,04;3,11;0,55;0
FR0011033083;ALMOU.PA;Basic Materials;Lumber & Wood Production;https://www.moulinvest.com/;Moulinvest S.A.;12,95;47,99;0,27;0,27;0,48;0
BE0003602134;MOUR.BR;Industrials;Engineering & Construction;https://www.moury-construct.be/;Moury Construct SA;530;0;0;0;0,68;0,01
NO0003054108;MOWI.OL;Consumer Defensive;Farm Products;https://www.mowi.com/;Mowi ASA;207,1;12,22;16,95;13,52;0,46;0,02
NO0010791353;MPCC.OL;Industrials;Marine Shipping;https://www.mpc-container.com/;MPC Container Ships ASA;20,24;2,39;8,47;19,84;0,75;0
NL0015268814;MPCES.OL;Utilities;Utilities - Renewable;https://www.mpc-energysolutions.com/;MPC Energy Solutions N.V.;9,3;4,81;1,93;2,56;0,49;0
FR0004034320;ALMRB.PA;Consumer Cyclical;Home Improvement Retail;https://mr-bricolage.com/;Mr.Bricolage S.A.;7,46;26,17;0,29;0,2;0,39;0,58
DE000A0D9PT0;MTX.DE;Industrials;Aerospace & Defense;https://www.mtu.de/;MTU Aero Engines AG;322,9;167,45;1,93;1,34;0,28;0
NO0010734338;MULTI.OL;Industrials;Engineering & Construction;https://www.multiconsultgroup.com/;Multiconsult ASA;192;100,72;1,91;1,23;0,29;0,02
FR0013462231;ALMUN.PA;Technology;Software - Infrastructure;https://www.munic.io/;Munic S.A.;0,714;1,51;0,47;0,25;0,51;0
DE0008430026;MUV2.DE;Financial Services;Insurance - Reinsurance;https://www.munichre.com/;Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München;517,4;2062,06;0,25;0,28;0,11;0,01
FR001400IE67;MHM.PA;Consumer Cyclical;Travel Services;https://myhotelmatch.com/;MyHotelMatch S.A.;0,389;2,76;0,14;0,11;0;0
NO0010974983;NO0010974983.SG;;;https://twitter.com/YahooFinance;;2,27;0;0;0;0;0
FR0013482791;FR0013482791.SG;;;https://twitter.com/YahooFinance;;0,558;0;0;0;0;0
NL0015000CG2;NAI.AS;Financial Services;Shell Companies;https://www.newamsterdaminvest.nl/;New Amsterdam Invest N.V.;9,55;15,96;0,6;1,25;0,52;0
FR0014003J32;ALNMR.PA;Technology;Software - Application;https://namr.com/;namR Société anonyme;0,42;2,25;0,19;0,28;0,01;0
FR0011341205;NANO.PA;Healthcare;Biotechnology;https://www.nanobiotix.com/;Nanobiotix S.A.;3,224;1,98;1,63;0,85;0,1;0
DK0060520450;NAPA.OL;Technology;Communication Equipment;https://www.napatech.com/;Napatech A/S;22,5;2,35;9,57;7,23;0,64;0
ES0116870314;NTGY.MC;Utilities;Utilities - Regulated Gas;https://www.naturgy.com/;Naturgy Energy Group, S.A.;23;33,23;0,69;0,6;0,27;0,28
NO0010205966;NAVA.OL;Healthcare;Medical Distribution;https://navamedic.com/;Navamedic ASA;28;18,91;1,48;1,64;0,42;0
NL0000371243;NEDAP.AS;Technology;Information Technology Services;https://nedap.com/;Nedap N.V.;53,4;19,8;2,7;2,49;0,66;0,08
NO0003049405;NKR.OL;Industrials;Specialty Industrial Machinery;https://www.nekkar.com/;Nekkar ASA;10,1;5,22;1,93;1,57;0,67;0
NO0010081235;NEL.OL;Industrials;Specialty Industrial Machinery;https://nelhydrogen.com/;Nel ASA;3,032;0;0;0;0,79;0
DE0006452907;NEM.DE;Technology;Software - Application;https://www.nemetschek.com/;Nemetschek SE;93,8;17,08;5,49;6,11;0,37;0,01
IT0005275778;NDT.MI;Basic Materials;Paper & Paper Products;https://www.neodecortech.it/;Neodecortech S.p.A.;2,84;12,36;0,23;0,21;0,48;0
FR0011675362;NEOEN.PA;Utilities;Utilities - Renewable;https://www.neoen.com/;Neoen S.A.;39,45;44,27;0,89;1,03;0,4;0
FR0011636083;FR0011636083.SG;;;https://twitter.com/YahooFinance;;0,0537;0;0;0;0;0
IT0005497018;NSP.MI;Technology;Software - Application;https://www.neosperience.com/;Neosperience S.p.A.;0,758;1,69;0,45;0,34;0,56;0
NL0015000RT3;NRP.JO;Real Estate;Real Estate - Diversified;https://www.nepirockcastle.com/;NEPI Rockcastle N.V.;14279;10,57;1350,9;2699,24;0,59;0
FI0009013296;NESTE.HE;Energy;Oil & Gas Refining & Marketing;https://www.neste.com/;Neste Oyj;12,645;20,04;0,63;0,65;0,47;0,22
FR0004154060;ALNTG.PA;Technology;Communication Equipment;https://www.netgem.com/;Netgem SA;0,976;0,87;1,12;0,88;0,67;7,92
IT0005545675;NTW.MI;Communication Services;Advertising Agencies;https://www.netweekspa.it/;Netweek S.p.A.;0,0094;2,32;0;0;0,24;0
BE0003680916;MLNEU.BR;Real Estate;Real Estate Services;https://www.neufcour.com/;Compagnie Financière de Neufcour S.A.;7,3;0;0;0;0;0
FR0004050250;NRO.PA;Technology;Information Technology Services;https://www.neurones.net/;Neurones S.A.;44,4;25,6;1,73;1,24;0,55;0,01
NL0009822014;NSE.AS;Utilities;Utilities - Renewable;https://www.newsourcesenergy.com/;New Sources Energy N.V.;0,017;0;0;0;0,82;0
IT0005385213;IT0005385213.SG;;;https://twitter.com/YahooFinance;;11,96;0;0;0;0;0
FR0012650166;8XE.F;;;;;0;1,93;0;0;0,47;0
NO0010733082;NISB.OL;Financial Services;Banks - Regional;https://nidaros-sparebank.no/;Nidaros Sparebank;101;4431,49;0,02;0,03;0,12;0
NL0010773842;NN.AS;Financial Services;Insurance - Diversified;https://www.nn-group.com/;NN Group N.V.;42,49;775,07;0,05;0,06;0,1;0,16
FI0009000681;NOKIA.HE;Technology;Communication Equipment;https://www.nokia.com/;Nokia Oyj;4,2205;0;0;0;0,54;0,58
FI0009005318;TYRES.HE;Consumer Cyclical;Auto Parts;https://www.nokiantyres.com/;Nokian Renkaat Oyj;7,624;17,74;0,43;0,43;0,5;0,76
NO0010360019;NORAM.OL;Energy;Oil & Gas Equipment & Services;https://www.noramdrilling.com/;NorAm Drilling AS;34,2;2,25;15,2;29,23;0,74;0
NO0010856511;NORBT.OL;Technology;Scientific & Technical Instruments;https://www.norbit.com/;Norbit ASA;96,3;17,86;5,39;3,36;0,51;0
NO0010892912;NCOD.OL;Consumer Defensive;Farm Products;https://www.norcod.no/;Norcod AS;18,35;15,83;1,16;0,98;0,32;0
NO0013052209;NORCO.OL;Industrials;Engineering & Construction;https://norconsult.com/;NORCONSULT ASA;42;17,35;2,42;1,68;0,36;0
FI4000297767;NDA-SE.ST;Financial Services;Banks - Regional;https://www.nordea.com/;Nordea Bank Abp;123,1;0;0;0;0,06;0,06
DE000A0D6554;NDX1.DE;Industrials;Specialty Industrial Machinery;https://www.nordex-online.com/;Nordex SE;11,52;19,93;0,58;0,35;0,18;0
NO0011002651;NORDH.OL;Healthcare;Health Information Services;https://nordhealth.com/;Nordhealth AS;41;0,67;61,19;48,81;0,94;0
NO0012928805;NOAP.OL;Consumer Defensive;Farm Products;https://www.nordicaquapartners.com/;Nordic Aqua Partners A/S;70;5,55;12,61;18,32;0,49;0
NO0003058109;NOHAL.OL;Consumer Defensive;Farm Products;https://www.nordichalibut.com/;Nordic Halibut AS;19,5;18,66;1,05;1,21;0,59;0
NO0013162693;NOM.OL;Basic Materials;Other Industrial Metals & Mining;https://www.nordicmining.com/;Nordic Mining ASA;24,42;30,17;0,81;1,09;0,46;0
NO0003055501;NOD.OL;Technology;Semiconductors;https://www.nordicsemi.com/;Nordic Semiconductor ASA;99,7;4,13;24,14;22,06;0,9;0
NO0011018434;NTG.OL;Technology;Scientific & Technical Instruments;https://www.ntechgroup.no/;Nordic Technology Group AS;2,24;2,79;0,8;0,74;0,72;0
NO0012885252;NORSE.OL;Industrials;Airlines;https://www.flynorse.com/;Norse Atlantic ASA;3,93;7,27;0,54;0,54;0,17;0
NO0005052605;NHY.OL;Basic Materials;Aluminum;https://www.hydro.com/;Norsk Hydro ASA;65,14;0;0;0;0,48;0,05
NO0010941925;NSOL.OL;Utilities;Utilities - Renewable;https://norskrenewables.com/;Norsk Renewables AS;0,265;0,75;0,35;0,29;0,12;0
NO0010969108;NTI.OL;Industrials;Aerospace & Defense;https://www.norsktitanium.com/;Norsk Titanium AS;2,78;0,02;139;92,67;0,06;0
NO0010861115;NSKOG.OL;Basic Materials;Paper & Paper Products;https://www.norskeskog.com/;Norske Skog ASA;22,02;174,59;0,13;0,14;0,41;0
NO0010550056;NORTH.OL;Financial Services;Asset Management;https://www.northenergy.no/;North Energy ASA;2,6;3,12;0,83;2,3;0,98;0
DE000A0SMU87;DE000A0SMU87.SG;;;https://twitter.com/YahooFinance;;40,3;0;0;0;0;0
NO0010196140;NAS.OL;Industrials;Airlines;https://www.norwegian.com/;Norwegian Air Shuttle ASA;11,295;36,2;0,31;0,23;0,19;0
NO0010984966;NBX.OL;Financial Services;Capital Markets;https://nbx.com/;Norwegian Block Exchange AS;0,397;0,61;0,65;0,58;0,32;0
PTZON0AM0006;NOS.LS;Communication Services;Telecom Services;https://www.nos.pt/;NOS, S.G.P.S., S.A.;3,38;4,89;0,69;0,61;0,3;2,52
IT0005025355;NPI.MI;Communication Services;Entertainment;https://www.notoriouspictures.it/;Notorious Pictures S.p.A.;0,75;3,39;0,22;0,16;0,36;6,04
PTNBA0AM0006;NBA.LS;Technology;Information Technology Services;https://www.novabase.com/;Novabase S.G.P.S., S.A.;5,75;4,77;1,21;0,86;0,43;1,94
FR0010397232;ALNOV.PA;Healthcare;Medical Devices;https://www.novacyt.com/;Novacyt S.A.;0,686;1,45;0,47;0,36;0,97;0
FR0000185464;MLNOV.PA;Technology;Electronic Components;https://www.novatech-groupe.com/;Novatech Industries;10,5;0;0;0;0;0
FR0014001PV6;NR21.PA;Consumer Cyclical;Apparel Retail;https://www.nr21.eu/;NR21 Société Anonyme;32,2;0;0;0;0,99;0
NO0003679102;NO0003679102.SG;;;https://twitter.com/YahooFinance;;0,393;0;0;0;0;0
FR0000121691;NRG.PA;Communication Services;Broadcasting;https://www.nrjgroup.fr/;NRJ Group SA;7,14;8,34;0,86;0,77;0,82;0,19
FR0000064529;ALNSC.PA;Industrials;Specialty Industrial Machinery;https://www.nsc-groupe.com/;NSC Groupe SA;65,5;0;0;0;0,46;0,05
FR0004065639;ALNSE.PA;Technology;Scientific & Technical Instruments;https://www.nse-groupe.com/;NSE S.A.;28,4;23,58;1,2;0,89;0,53;0,05
NL0012365084;NSI.AS;Real Estate;REIT - Office;https://www.nsi.nl/;NSI N.V.;19,68;55,63;0,35;1,01;0,65;0,38
IT0005453110;NUS.MI;Industrials;Building Products & Equipment;https://www.nuscospa.com/;Nusco S.p.A.;0,92;2,79;0,33;0,23;0,42;0
IT0005390783;NVP.MI;Communication Services;Entertainment;https://www.nvp.it/;NVP S.p.A.;3,02;6,83;0,44;0,36;0,25;0
NL0015000D50;NL0015000D50.SG;;;https://twitter.com/YahooFinance;;3,445;0;0;0;0;0
NL0009538784;NXPI;Technology;Semiconductors;https://www.nxp.com/;NXP Semiconductors N.V.;216,84;61,18;3,54;2,59;0,44;0,01
NO0010714785;NO0010714785.SG;;;https://twitter.com/YahooFinance;;0,2078;0;0;0;0;0
BE0974294267;NYR.BR;Basic Materials;Other Industrial Metals & Mining;https://www.nyrstarnv.be/;Nyrstar NV;0,0698;0,15;0,47;0,27;0,28;0
BE0974358906;BE0974358906.SG;;;https://twitter.com/YahooFinance;;8,1;0;0;0;0;0
FR0014003711;FR0014003711.SG;;;https://twitter.com/YahooFinance;;4,58;0;0;0;0;0
NO0010865009;OBSRV.OL;Healthcare;Medical Devices;https://observemedical.com/;Observe Medical ASA;0,405;0,69;0,59;0,9;0,54;0
NO0010914641;OCEAN.OL;Industrials;Pollution & Treatment Controls;https://www.oceangeoloop.com/;Ocean GeoLoop AS;6,4;4,63;1,38;1,24;0,68;0
NO0010887565;OSUN.OL;Utilities;Utilities - Renewable;https://oceansun.no/;Ocean Sun AS;1,65;0,84;1,96;1,76;0,89;0
NL0010558797;OCI.AS;Basic Materials;Specialty Chemicals;https://www.oci.nl/;OCI N.V.;10,985;42,29;0,26;0,15;0,1;0
NO0003399909;ODF.OL;Industrials;Marine Shipping;https://www.odfjell.com/;Odfjell SE;107,6;34,31;3,14;4,31;0,43;0,04
NO0003399917;ODJBF;;;;;9,38;0;0;0;0;0
FR0004174712;MLONL.PA;Consumer Defensive;Education & Training Services;https://www.onlineformapro.com/;SA Onlineformapro;2,12;0;0;0;0;0
BE0974276082;ONTEX.BR;Consumer Defensive;Household & Personal Products;https://ontex.com/;Ontex Group NV;8,23;18,61;0,44;0,28;0,39;0,25
NL0015000HT4;ONWD.BR;Healthcare;Biotechnology;https://www.onwd.com/;Onward Medical N.V.;4,93;0,82;6,01;3,47;0,39;0
FR0000133308;ORA.PA;Communication Services;Telecom Services;https://www.orange.com/;Orange S.A.;9,61;0;0;0;0,3;0,66
BE0003735496;OBEL.BR;Communication Services;Telecom Services;https://www.orange.be/;Orange Belgium S.A.;14,4;66,09;0,22;0,25;0,16;0,2
FR0000075392;ORAP.PA;Consumer Defensive;Household & Personal Products;https://www.orapi.com/;Orapi SA;6,5;23,72;0,27;0,18;0,24;0,43
FR0013318052;ALORD.PA;Technology;Computer Hardware;https://www.ordissimo.com/;Ordissimo SA;0,658;2,09;0,31;0,25;0,56;0
FR0010609206;OREGE.PA;Industrials;Waste Management;https://www.orege.com/;Orege Société Anonyme;0,359;0,18;1,99;-0,69;4,86;0
IE00B1WV4493;OIZ.IR;Basic Materials;Agricultural Inputs;https://www.originenterprises.com/;Origin Enterprises plc;3,01;10,31;0,29;0,17;0,32;1,38
ES0105534004;MLORQ.PA;;;https://twitter.com/YahooFinance;;1,6;0;0;0;0;0
FI0009014377;ORNBV.HE;Healthcare;Drug Manufacturers - General;https://www.orion.fi/;Orion Oyj;41,85;13;3,22;2,72;0,57;0,09
NO0003733800;ORK.OL;Consumer Defensive;Packaged Foods;https://www.orkla.no/;Orkla ASA;102,3;53,06;1,93;1,56;0,52;0,03
FR001400NLM4;EMEIS.PA;Healthcare;Medical Care Facilities;https://www.emeis.com/;EMEIS;5,559;80,98;0,07;0,06;0,14;0,19
IT0005138703;ORS.MI;Consumer Defensive;Food Distribution;https://www.orserogroup.it/;Orsero S.p.A.;12,74;33,87;0,38;0,26;0,35;0
IT0005424830;OSA.MI;Industrials;Specialty Industrial Machinery;https://osai-as.com/;OSAI Automation System S.p.A.;0,622;4,79;0,13;0,08;0,14;0
FR0012127173;OSE.PA;Healthcare;Biotechnology;https://www.ose-immuno.com/;OSE Immunotherapeutics SA;7,8;3,77;2,07;1,91;0,3;0
FR001400IUV6;ALWTR.PA;Industrials;Pollution & Treatment Controls;https://www.osmosun.com/;Osmosun S.A.;1,378;0;0;0;0;0
NO0010040611;OTEC.OL;Communication Services;Advertising Agencies;https://www.otellocorp.com/;Otello Corporation ASA;7,8;1,31;5,95;41,05;0,99;0,07
NO0010809783;OTOVO.OL;Technology;Solar;https://www.otovo.no/;Otovo ASA;1,048;3,35;0,31;0,3;0,57;0
FR0014005HJ9;OVH.PA;Technology;Software - Infrastructure;https://www.ovhcloud.com/;OVH Groupe S.A.;8,32;6,95;1,2;1,08;0,24;0
IE00B4XVDC01;OVXA.IR;Healthcare;Biotechnology;https://ovocabio.com/;Ovoca Bio plc;0,018;0,04;0,45;0,36;19,09;0
IT0005043507;OVS.MI;Consumer Cyclical;Apparel Manufacturing;https://www.ovscorporate.it/;OVS S.p.A.;3,52;7,91;0,45;0,33;0,32;0
BE0003846632;OXUR.BR;Healthcare;Biotechnology;https://www.oxurion.com/;Oxurion NV;0,27;2,55;0,11;-0,18;2,01;0
FR0000077992;MLPAC.PA;Technology;Software - Application;https://www.pactenovation.fr/;Pacte Novation;8,3;0;0;0;0;0
IT0005575730;PAL.MI;Industrials;Engineering & Construction;https://www.palingeo.it/;Palingeo S.p.A.;5,94;10,13;0,59;0,39;0,35;0
NO0010564701;PEN.OL;Energy;Oil & Gas E&P;https://www.panoroenergy.com/;Panoro Energy ASA;27;5,56;4,86;6,29;0,38;0
DE0005558696;PGN.DE;Consumer Cyclical;Auto Parts;https://www.paragon.ag/;paragon GmbH & Co. KGaA;1,7;30,82;0,06;0,06;0,05;0,58
FR0010263202;PAR.PA;Real Estate;REIT - Diversified;https://www.paref.com/;Paref SA;38,4;139,91;0,27;0,5;0,58;0,15
NO0010397581;PARB.OL;Financial Services;Banks - Regional;https://www.paretobank.no/;Pareto Bank ASA;65,7;335,88;0,2;0,25;0,2;0
FR0004038263;PARRO.PA;Technology;Communication Equipment;https://www.parrot.com/;Parrot S.A.;2,35;2,85;0,82;0,73;0,63;0
NL0012650535;MLPRX.PA;Basic Materials;Specialty Chemicals;https://www.parxmaterials.com/;Parx Materials N.V.;0,298;0;0;0;0;0
IT0005546319;PSQ.MI;Consumer Cyclical;Auto & Truck Dealerships;https://www.pasquarelliauto.it/;Pasquarelli Auto S.p.A.;0,748;0;0;0;0;0
FR0000038465;PSAT.PA;Consumer Cyclical;Specialty Retail;https://www.passat.fr/;Passat Société Anonyme;4,68;15,58;0,3;0,24;0,74;1,69
FR0011027135;PAT.PA;Real Estate;REIT - Retail;https://www.patrimoine-commerce.com/;Patrimoine et Commerce SA;19,4;56,98;0,34;0,59;0,5;0,38
IT0005378143;PTR.MI;Consumer Cyclical;Apparel Manufacturing;https://www.patterngroup.it/;Pattern S.p.A.;5;6,05;0,83;0,53;0,35;0
FR0013479730;ALPAU.PA;Consumer Defensive;Packaged Foods;https://www.paulicmeunerie.com/;PAULIC Meunerie SA;0,978;3,6;0,27;0,27;0,39;0
NL0000336303;PBH.AS;Consumer Cyclical;Auto & Truck Dealerships;https://www.pb-holding.nl/;PB Holding N.V.;2,9;3,04;0,95;24,17;1,03;1,72
DE0008019001;PBB.BE;;;https://issgovernance.com/quickscore;Deutsche Pfandbriefbank AG;5;0;0;0;0,08;0
NO0010405640;PCIB.OL;Healthcare;Biotechnology;https://www.pcibiotech.com/;PCI Biotech Holding ASA;1,4;1,41;0,99;0,91;0,89;0
IE00BWB8X525;PTSB.IR;Financial Services;Banks - Regional;https://www.permanenttsbgroup.ie/;Permanent TSB Group Holdings plc;1,495;50,58;0,03;0,03;0,09;29,18
FR0000120693;RI.PA;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.pernod-ricard.com/;Pernod Ricard SA;113,95;106,2;1,07;0,78;0,4;0,02
FR0000061459;PERR.PA;Industrials;Electrical Equipment & Parts;https://www.gerard-perrier.com/en/home-page/;Gérard Perrier Industrie S.A.;85,6;65,89;1,3;0,94;0,53;0,03
GG00BPFJTF46;PSH.AS;;;https://issgovernance.com/quickscore;Pershing Square Holdings Ord;49,9;0;0;0;0,8;0
NL0015001HZ9;MLPET.PA;Consumer Cyclical;Internet Retail;https://www.petserviceholding.com/;Pet Service Holding N.V.;4,5;0;0;0;0;0
NO0012942525;PNOR.OL;Energy;Oil & Gas E&P;https://petronorep.com/;PetroNor E&P ASA;10,36;1,78;5,82;7,51;1,17;0
FR0000064784;PEUG.PA;Financial Services;Asset Management;https://www.peugeot-invest.com/;Peugeot Invest Société anonyme;72,7;329,43;0,22;0,7;0,71;0,04
NO0010840507;PEXIP.OL;Technology;Software - Application;https://www.pexip.com/;Pexip Holding ASA;46;12,94;3,55;3,65;0,76;0
IT0003073266;PIA.MI;Consumer Cyclical;Auto Manufacturers;https://www.piaggiogroup.com/;Piaggio & C. SpA;2,168;5,45;0,4;0,33;0,21;2,5
FR001400B4H9;VACBS.PA;;;https://twitter.com/YahooFinance;;0,0502;0;0;0;0,1;0
FR001400B4G1;VACBT.PA;;;https://twitter.com/YahooFinance;;0,126;0;0;0;0,13;0
FR0000073041;VAC.PA;Consumer Cyclical;Lodging;https://www.groupepvcp.com/;"Pierre &amp; Vacances SA";1,388;9,69;0,14;0,14;0,13;2,9
IT0003056386;PINF.MI;Consumer Cyclical;Auto Manufacturers;https://pininfarina.it/;Pininfarina S.p.A.;0,692;1,12;0,62;0,51;0,39;2,23
NO0010735681;PPG.OL;Real Estate;Real Estate Services;https://www.pioneerproperty.no/;Pioneer Property Group ASA;97,6;0;0;0;0;0,09
IT0005337958;PVN.MI;Industrials;Specialty Industrial Machinery;https://www.piovan.com/;Piovan S.p.A.;13,85;7,03;1,97;1,16;0,36;0
IT0004240443;PQ.MI;Consumer Cyclical;Footwear & Accessories;https://www.piquadro.com/;Piquadro S.p.A.;2,03;3,68;0,55;0,41;0,45;1,61
IT0005278236;PIRC.MI;Consumer Cyclical;Auto Parts;https://www.pirelli.com/;Pirelli & C. S.p.A.;5,518;0;0;0;0,42;0
FR0000061608;ALPDX.PA;Consumer Cyclical;Leisure;https://www.desjoyaux.com/;Piscines Desjoyaux SA;12,55;20,23;0,62;0,61;0,89;0,33
FR0000030769;MLPLC.PA;;;https://twitter.com/YahooFinance;;500;0;0;0;0;0
IT0005430951;PLN.MI;Communication Services;Telecom Services;https://www.planetel.it/;Planetel S.p.A.;4,88;7,77;0,63;0,53;0,37;0
FR001400PFU4;PLNW.PA;Technology;Software - Application;https://planisware.com/;PLANISWARE;27,355;3,23;8,47;6,48;0,78;0
FR0010785790;ALPAT.PA;Healthcare;Biotechnology;https://www.plantadvanced.com/;Plant Advanced Technologies SA;11,8;10,22;1,15;1,35;0,55;0
FR0013252186;PVL.PA;Consumer Cyclical;Auto Parts;https://groupe-plastivaloire.com/;Plastiques du Val de Loire;1,21;33;0,04;0,03;0,31;1,76
FR0000124570;OPM.PA;Consumer Cyclical;Auto Parts;https://www.opmobility.com/;OPmobility SE;10,04;39,64;0,25;0,17;0,28;0,28
IT0005339160;PLC.MI;Industrials;Engineering & Construction;https://www.plc-spa.it/;PLC S.p.A.;1,73;2,8;0,62;0,38;0,16;0
NL0015001W49;PLX.PA;Industrials;Specialty Business Services;https://www.pluxeegroup.com/;Pluxee N.V.;19,072;45,01;0,42;0,27;0,05;0
DE000A0JBPG2;PNE3.DE;Utilities;Utilities - Renewable;https://www.pne-ag.com/;PNE AG;11,26;15,94;0,71;0,52;0,12;0,04
NO0010466022;POL.OL;Communication Services;Publishing;https://www.polarismedia.no/;Polaris Media ASA;87;84,47;1,03;1,67;0,63;0,07
NO0012535832;PLT.OL;Technology;Electronic Components;https://www.polight.com/;poLight ASA;5,3;2,03;2,61;2,57;0,95;0
IT0004587470;POPR.MI;Communication Services;Publishing;https://www.monrif.it/societa-e-investimenti/stampa/;Poligrafici Printing S.p.A.;0,344;1,54;0,22;0,24;0,67;0
NL0000378669;PORF.AS;Consumer Defensive;Household & Personal Products;https://group.royaldelft.com/;"B.V. Delftsch Aardewerkfabriek ""De Porceleyne Fles Anno 1653""";11,5;0;0;0;0,46;0
DE000PAG9113;P911.DE;Consumer Cyclical;Auto Manufacturers;https://www.porsche.com/international;Dr. Ing. h.c. F. Porsche AG;60,7;94,21;0,64;0,56;0,43;0
DE000PAH0038;PAH3.DE;Consumer Cyclical;Auto Manufacturers;https://www.porsche-se.com/;Porsche Automobil Holding SE;36,01;423,92;0,08;0,52;0,88;0,08
IT0005545238;PAG.MI;Industrials;Aerospace & Defense;https://www.portoaviationgroup.com/;Porto Aviation Group S.p.A.;3,9;0;0;0;0;0
IT0005337495;POR.MI;Communication Services;Advertising Agencies;https://www.portobellospa.com/;Portobello S.p.A.;2,7;22,99;0,12;0,07;-0,01;0
IT0003796171;PST.MI;Industrials;Conglomerates;https://www.posteitaliane.it/;Poste Italiane S.p.A.;13,845;0;0;0;0,04;0,43
NL0009739416;PNL.AS;Industrials;Integrated Freight & Logistics;https://www.postnl.nl/;PostNL N.V.;1,046;4,98;0,21;0,15;0,06;6,14
FR0000066441;ALPJT.PA;Industrials;Building Products & Equipment;https://www.poujoulat.com/;Poujoulat SA;10,15;38,32;0,26;0,23;0,43;0,14
FR0013015583;ALPOU.PA;Consumer Defensive;Packaged Foods;https://www.poulaillon.fr/;Poulaillon SA;5,6;14;0,4;0,36;0,37;0
IT0005353815;PWS.MI;Technology;Consumer Electronics;https://www.powersoft-audio.com/;Powersoft S.p.A.;13,3;4,63;2,87;2,1;0,57;0
FR0012432516;POXEL.PA;Healthcare;Biotechnology;https://www.poxelpharma.com/;Poxel S.A.;0,1236;0,09;1,37;-0,16;19,77;0
IT0005499949;POZ.MI;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.pozzimilano.it/;Pozzi Milano S.p.A.;0,427;0,37;1,15;0,76;0,52;0
FR0014004EC4;ALPM.PA;Industrials;Specialty Industrial Machinery;https://www.preciamolen.com/;Precia S.A.;28,8;26,03;1,11;0,85;0,63;0,04
FR0010169920;ALPRE.PA;Healthcare;Diagnostics & Research;https://www.predilife.com/;Predilife S.A.;3,78;2,38;1,59;1,12;0,08;0
IT0005442154;PFI.MI;Financial Services;Credit Services;https://www.premiafinancespa.it/;Premia Finance S.p.A.;1,13;0,68;1,66;1,22;0,65;0
