ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
NL0000334118;ASM.AS;Technology;Semiconductor Equipment & Materials;https://www.asm.com/;ASM International NV;525,8;73,14;7,19;7,65;0,73;0
NL0010273215;ASML.AS;Technology;Semiconductor Equipment & Materials;https://www.asml.com/;ASML Holding N.V.;687,7;92,89;7,4;5,36;0,39;0
NL0011872643;ASRNL.AS;Financial Services;Insurance - Diversified;https://www.asrnl.com/;ASR Nederland N.V.;45,54;711,46;0,06;0,07;0,06;0,12
FR0000074148;ASY.PA;Industrials;Engineering & Construction;https://www.assystem.com/;Assystem S.A.;41,05;44,77;0,92;0,94;0,52;0,12
FR0010478248;ALATA.PA;Communication Services;Electronic Gaming & Multimedia;https://www.atari.com/;Atari SA;0,112;0,27;0,41;0,62;0,09;0
NO0004822503;ATEA.OL;Technology;Information Technology Services;https://www.atea.com/;Atea ASA;142;116,11;1,22;0,77;0,26;0,03
FR0011992700;ATEME.PA;Technology;Communication Equipment;https://www.ateme.com/;ATEME SA;5,78;7,02;0,82;0,5;0,42;0
BE0003837540;ATEB.BR;Real Estate;Real Estate - Development;https://www.atenor.eu/;Atenor SA;3,52;30,59;0,12;0,07;0,27;2,13
FR0013455482;ATLD.PA;Real Estate;REIT - Diversified;https://www.fonciere-atland.fr/;Atland SAS;43;100,72;0,43;0,27;0,3;0,1
NO0010768500;ASA.OL;Consumer Defensive;Farm Products;https://www.atlanticsapphire.com/;Atlantic Sapphire ASA;0,0952;0;0;0;0,83;0
IT0005449464;ATON.MI;Industrials;Electrical Equipment & Parts;https://www.atonstorage.com/;ATON Green Storage S.p.A.;2,06;8,49;0,24;0,15;0,38;0
FR0000051732;ATO.PA;Technology;Information Technology Services;https://www.atos.net/;Atos SE;0,0023;0;0;0;0,01;695,65
FR0000063737;AUB.PA;Technology;Information Technology Services;https://www.aubay.com/;Aubay Société Anonyme;44,45;24,91;1,78;1,19;0,65;0,05
FR00140059B5;ALAUD.PA;Financial Services;Asset Management;https://www.audacia.fr/;Audacia SA;3,66;4,54;0,81;0,7;0,6;0
FR0000061780;AUGR.PA;Consumer Cyclical;Packaging & Containers;https://www.augros.fr/;Augros Cosmetic Packaging SA;7,2;0;0;0;0;0
