Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende
IT0003115950;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.delonghigroup.com/;De'Longhi S.p.A.;31,22;26,91;1,16;223;0,64;2,66
BE0003789063;Industrials;Building Products & Equipment;https://www.deceuninck.com/;Deceuninck NV;2,53;4,82;0,52;-8,16;0,48;1,21
NO0010955917;Energy;Oil & Gas Drilling;https://www.deepvaluedriller.no/;Deep Value Driller AS;25;1,61;15,53;-27,17;0,29;0
FR001400AYG6;Communication Services;Entertainment;https://www.deezer.com/;Deezer S.A.;1,99;1,54;1,29;-0,93;1,73;0
FR0014004JF6;;;;;0,0015;0;0;0;0;0
IT0005461329;Industrials;Aerospace & Defense;https://www.defencetech.it/;Defence Tech Holding S.p.A.;4,2;1,66;2,53;6,27;0,93;0
FR0000062978;Communication Services;Advertising Agencies;https://www.dekuple.com/en;ADLPartner SA;37,4;38,64;0,97;-7,19;0,25;7,02
FR0000054132;Consumer Cyclical;Auto Parts;https://www.delfingen.com/;Delfingen Industry S.A.;38,9;111,2;0,35;-1,49;0,4;2,62
DE000A2E4K43;Consumer Cyclical;Internet Retail;https://www.deliveryhero.com/;Delivery Hero SE;31,83;15,14;2,1;-1,41;0,19;0
FR0013283108;;;;;78,4;0;0;0;0;0
BE0974413453;Industrials;Engineering & Construction;https://www.deme-group.com/;DEME Group NV;166,2;186,65;0,89;-3,67;0,44;0
IT0005528937;Consumer Cyclical;Leisure;https://deodato.group/;Deodato.Gallery S.p.A.;0,394;0,24;1,64;3,94;0,61;0
FR0000053381;Industrials;Waste Management;https://www.derichebourg.com/;Derichebourg SA;4,892;14,48;0,34;-0,93;0,41;2,55
NO0010963275;Basic Materials;Agricultural Inputs;https://www.desertcontrol.com/;Desert Control AS;7,76;2,49;3,12;3,45;8,98;0
IT0005454027;Consumer Cyclical;Travel Services;https://www.destinationitalia.com/;Destination Italia S.p.A.;0,878;0,85;1,03;-1,49;0,17;0
DE0005140008;Financial Services;Banks - Regional;https://www.db.com/;Deutsche Bank Aktiengesellschaft;15,636;675,53;0,02;-0,02;0,06;2,72
DE0005810055;Financial Services;Financial Data & Stock Exchanges;https://deutsche-boerse.com/dbg-de/;Deutsche Börse AG;184,55;1554,31;0,12;-2,25;0,09;2,01
DE0007480204;Real Estate;Real Estate Services;https://www.deutsche-euroshop.de/;Deutsche EuroShop AG;18,68;56,88;0,33;-0,68;0,49;4,93
DE0008232125;Industrials;Airlines;https://www.lufthansagroup.com/;Deutsche Lufthansa AG;6,672;38,37;0,17;-0,39;0,24;5,37
DE0005552004;Industrials;Integrated Freight & Logistics;https://www.dpdhl.com/;Deutsche Post AG;39,97;44,28;0,9;-1,91;0,35;3,44
DE000A0XYG76;Energy;Oil & Gas E&P;https://www.rohstoff.de/;Deutsche Rohstoff AG;41,4;93,86;0,44;-1,1;0,44;2,88
DE0005557508;Communication Services;Telecom Services;https://www.telekom.com/;Deutsche Telekom AG;22;59,28;0,37;-0,67;0,21;4,01
DE000A0HN5C6;Real Estate;Real Estate Services;https://www.deutsche-wohnen.com/;Deutsche Wohnen SE;18,48;73;0,25;-0,65;0,53;1,56
DE0006305006;Industrials;Specialty Industrial Machinery;https://www.deutz.com/;DEUTZ Aktiengesellschaft;5,4;12,61;0,43;33,75;0,49;1,94
FR0000060840;Consumer Cyclical;Apparel Manufacturing;https://www.devernois.com/;Devernois S.A.;10,2;0;0;0;0,47;4,03
IT0005543480;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.italiandesignbrands.com/;Dexelance S.p.A.;9,97;8,63;1,16;-1,68;0,38;0
NL0009169515;Basic Materials;Lumber & Wood Production;https://www.green.earth/;DGB Group N.V.;0,652;0,57;1,14;16,3;0,84;4,84
IT0005203622;Technology;Software - Infrastructure;https://www.dhh.international/;Dominion Hosting Holding S.p.A.;19,5;7,73;2,52;-7,77;0,54;0
FR001400IAQ8;;;;;0,001;0;0;0;0,27;0
FR0012202497;Healthcare;Medical Devices;https://www.dms.com/;Diagnostic Medical Systems S.A.;1,04;2,22;0,47;-3,06;0,27;0
IT0003492391;Healthcare;Diagnostics & Research;https://diasoringroup.com/en;DiaSorin S.p.A.;102,05;0;0;0;0;0,82
BE0003698124;Real Estate;Real Estate Services;https://issgovernance.com/quickscore;Immolease Trust NV;124;0;0;0;0;0
IT0001469995;Communication Services;Electronic Gaming & Multimedia;https://digitalbros.com/;Digital Bros S.p.A.;10,18;17,14;0,59;-1,84;0,55;0
IT0005347429;Technology;Information Technology Services;https://www.digitalvalue.it/;Digital Value S.p.A.;65,4;69,02;0,95;14,83;0,27;0
IT0005089476;Communication Services;Advertising Agencies;https://www.gruppodigitouch.it/;DigiTouch S.p.A.;2,13;2,33;0,91;-3,49;0,39;0
IT0001463063;Financial Services;Capital Markets;https://www.directa.it/;Directa S.I.M.p.A.;3,99;5,06;0,79;2,33;0,44;0
BE0003605160;Real Estate;Real Estate Services;https://issgovernance.com/quickscore;Immobiliere Distri-Land NV;210;0;0;0;0;9,86
BE0974289218;Healthcare;Biotechnology;https://www.dms-imaging.com/;DMS Imaging SA;0,0226;0,02;1,13;0;0,26;0
NO0010161896;Financial Services;Banks - Regional;https://www.dnb.no/;DNB Bank ASA;203,4;2580,4;0,08;-0,08;0,07;4,3
NO0003921009;Energy;Oil & Gas E&P;https://www.dno.no/;DNO ASA;11;2,28;4,82;-33,33;0,65;0
FR0010436584;Communication Services;Internet Content & Information;https://www.dnxcorp.com/;DNXCorp SE;21,7;5,25;4,13;135,62;0,73;10,83
FR0000065260;Energy;Oil & Gas Refining & Marketing;https://www.dpasa.fr/;Les Docks des Pétroles d'Ambès -SA;530;0;0;0;0,26;7,05
