ISIN;nom;ticker
DE0007507501f;Washtec AG;WSU
DE0007551509f;Uzin Utz AG;UZU
DE0007568578f;SFC Energy AG;F3C
DE0007657231f;Villeroy & Boch AG;VIB3
DE0007664005f;Volkswagen AG;VOW
DE0007664039f;Volkswagen AG;VOW3
DE0007667107f;Vossloh AG;VOS
DE0007830572f;Daldrup & Söhne Aktiengesellschaft;4DS
DE0007846867f;Viscom AG;V6C
DE0007856023f;ElringKlinger AG;ZIL2
DE0007857476f;Klassik Radio AG;KA8
DE0008019001f;Deutsche Pfandbriefbank AG;PBB
DE0008041005f;Deutsche Effecten- und Wechsel-Beteiligungsgesells;EFF
DE0008051004f;Wuestenrot & Wuertt;WUW
DE0008148206f;Merkur PrivatBank KgaA;MBK
DE0008232125f;Deutsche Lufthansa ;LHA
DE0008303504f;TAG Immobilien AG;TEG
DE0008402215f;Hannover Rueckversi;HNR1
DE0008404005f;Allianz SE;ALV
DE0008430026f;Muenchener Rueckver;MUV2
DE0008435967f;Nuernberger Beteili;NBG6
DE000A0B9N37f;JDC Group AG;JDC
DE000A0BL849f;VITA 34 AG;V3V
DE000A0D6554f;Nordex SE;NDX1
DE000A0D9PT0f;MTU Aero Engines Ho;MTX
DE000A0DJ6J9f;SMA Solar Technolog;S92
DE000A0DNAY5f;bet-at-home.com AG;ACX
DE000A0ETBQ4f;MBB Industries AG;MBB
DE000A0F5UH1f;iShares STOXX Global Select Dividend 100 UCITS ETF (DE);ISPA
DE000A0H08L5f;iShares STOXX Europe 600 Media UCITS ETF (DE);EXH6
DE000A0H52F5f;MVV Energie AG;MVV1
DE000A0HGQS8f;Plan Optik AG;P4O
DE000A0HHJR3f;Cliq Digital AG;CLIQ
DE000A0HL8N9f;2G Energy AG;2GB
DE000A0HN5C6f;Deutsche Wohnen AG;DWNI
DE000A0HNF96f;InCity Immobilien AG;IC8
DE000A0JBPG2f;PNE Wind AG;PNE3
DE000A0JC8S7f;Datagroup SE;D6H
DE000A0JDBC7f;Limes Schlosskliniken AG;LIK
DE000A0JJTG7f;Gateway Real Estate AG;GTY
DE000A0JL9W6f;VERBIO Vereinigte B;VBK
DE000A0JM2M1f;Blue Cap AG;B7E
DE000A0KFKH0f;elexxion AG;E8X
DE000A0KPPR7f;Nabaltec AG;NTG
