ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
DE000A0DNAY5;ACX.DE;Consumer Cyclical;Gambling;https://www.bet-at-home.ag/;bet-at-home.com AG;2.12;3.31;0.64;0.98;0.84;1.77;3.54;1.07
DE000A0ETBQ4;MBB.DE;Industrials;Conglomerates;https://www.mbb.com/;MBB SE;202.0;99.31;2.03;8.98;8.98;0.73;0.01;71.52
DE000A0F5UH1;ISPA.DE;;;https://twitter.com/YahooFinance;;34.77;0;0;0;0;0;0.0;0
DE000A0H08L5;EXH6.DE;;;https://twitter.com/YahooFinance;;33.06;0;0;0;0;0;0.0;0
DE000A0H52F5;MVV1.DE;Utilities;Utilities - Diversified;https://www.mvv.de/;MVV Energie AG;31.0;28.77;1.08;-1.02;-1.82;0.37;0.11;6.34
DE000A0HGQS8;P4O.F;Technology;Scientific & Technical Instruments;https://www.planoptik.com/;Planoptik AG;5.05;2.76;1.83;2.94;1.99;1.13;0.0;1.24
DE000A0HHJR3;CLIQ.DE;Communication Services;Entertainment;https://www.cliqdigital.com/;Cliq Digital AG;2.28;7.41;0.31;0.36;0.36;0.83;0.0;22.22
DE000A0HL8N9;2GB.DE;Industrials;Specialty Industrial Machinery;https://2-g.com/;2G Energy AG;34.4;7.34;4.69;7.58;6.35;0.58;0.02;5.81
DE000A0HN5C6;DWNI.DE;Real Estate;Real Estate Services;https://www.deutsche-wohnen.com/;Deutsche Wohnen SE;21.55;32.67;0.66;-0.78;-0.78;0.5;0.04;8.28
DE000A0HNF96;IC8.SG;Real Estate;Real Estate Services;https://www.incity.ag/;InCity Immobilien AG;0.36;0.91;0.4;-0.47;-0.47;0.52;0.0;0.44
DE000A0JBPG2;PNE3.DE;Utilities;Utilities - Renewable;https://www.pnegroup.com/;PNE AG;9.6;1.73;5.55;-1.33;-1.33;0.17;0.04;-16.79
DE000A0JC8S7;D6H.DE;Technology;Information Technology Services;https://www.datagroup.de/;DATAGROUP SE;69.2;-9.09;-7.61;-2.95;-2.95;0.32;0.02;4.01
DE000A0JDBC7;LIK.DE;Healthcare;Medical Care Facilities;https://www.limes-schlosskliniken.de/;LIMES Schlosskliniken AG;378.0;47.93;7.89;-113.51;-113.51;0.68;0.0;31.13
DE000A0JJTG7;GTY.DE;Real Estate;Real Estate - Development;https://www.gateway-re.de/;Gateway Real Estate AG;0.378;1.1;0.34;-0.52;-0.52;0.15;0.0;-3.5
DE000A0JL9W6;VBK.DE;Basic Materials;Specialty Chemicals;https://www.verbio.de/;Verbio SE;25.72;11.64;2.21;102.88;102.88;0.61;0.03;-7.87
DE000A0JM2M1;B7E.DE;Financial Services;Asset Management;https://www.blue-cap.de/;Blue Cap AG;19.2;11.78;1.63;-10.16;1.93;0.6;0.19;47.26
DE000A0KFKH0;E8X.F;Healthcare;Medical Devices;https://www.elexxion.com/;elexxion AG;0.066;-0.0;0;-0.17;-0.17;0.0;0.0;0.0
DE000A0KPPR7;NTG.DE;Basic Materials;Specialty Chemicals;https://www.nabaltec.de/;Nabaltec AG;12.65;17.24;0.73;-29.42;-29.42;0.73;0.06;5.33
DE000A0LBFE4;M3V.DE;Healthcare;Health Information Services;https://www.mevis.de/;MeVis Medical Solutions AG;24.8;9.79;2.53;45.93;45.93;0.89;0.0;25.7
DE000A0LBKW6;CFC.DE;Technology;Communication Equipment;https://www.aconnic.com/;aconnic AG;0.53;-0.51;-1.04;-0.29;-0.29;0.0;0.0;0.79
DE000A0LD6E6;GXI.F;Healthcare;Medical Instruments & Supplies;https://www.gerresheimer.com/;Gerresheimer AG;25.5;-8.72;-2.92;-0.4;-0.4;0.32;0.05;-30.0
DE000A0LR4P1;H9W.DE;Consumer Cyclical;Auto Parts;https://www.hwaag.com/;HWA AG;3.29;0.28;11.75;-27.42;-27.42;0.3;0.0;0.95
DE000A0LR936;ST5.DE;Basic Materials;Lumber & Wood Production;https://www.steico.com/;STEICO SE;21.85;24.07;0.91;-3.0;-3.0;0.61;0.04;-1.68
DE000A0LR9G9;EXL.DE;Technology;Software - Infrastructure;https://www.exasol.com/;Exasol AG;2.56;0.11;23.27;25.6;25.6;1.08;0.0;0.0
DE000A0M93V6;DE000A0M93V6.SG;;;https://twitter.com/YahooFinance;;2.64;0;0;0;0;0;0.0;0
DE000A0MSN11;M7U.DE;Technology;Scientific & Technical Instruments;https://www.nynomic.com/;Nynomic AG;9.98;7.6;1.31;2.5;2.5;0.79;0.0;4.15
DE000A0MVLS8;ETG.F;Utilities;Utilities - Renewable;https://www.envitec-biogas.de/;EnviTec Biogas AG;17.8;11.33;1.57;-8.94;-8.94;0.46;0.27;1.5
DE000A0MZ4B0;DLX.F;Basic Materials;Lumber & Wood Production;https://www.delignit-ag.de/;Delignit AG;2.3;3.35;0.69;1.31;1.31;1.01;0.32;0.77
DE000A0N4N52;NFN.DE;Technology;Software - Infrastructure;https://www.nfon.com/;NFON AG;3.92;-0.08;-49.0;-5.16;-5.16;0.65;0.0;-2.38
DE000A0S8488;HHFA.DE;Industrials;Marine Shipping;https://hhla.de/;Hamburger Hafen und Logistik Aktiengesellschaft;22.8;7.15;3.19;-0.92;-0.92;0.25;0.14;-0.06
DE000A0SMU87;DE000A0SMU87.SG;;;https://twitter.com/YahooFinance;;12.56;0;0;0;0;0;0.0;0
DE000A0STSQ8;M12.DE;Healthcare;Medical Distribution;https://www.m1-kliniken.de/;M1 Kliniken AG;17.34;0.99;17.52;192.67;192.67;0.65;0.0;10.01
DE000A0V9LA7;DAR.DE;Industrials;Specialty Industrial Machinery;https://www.datron.de/;DATRON AG;7.4;10.78;0.69;10.14;10.14;0.66;0.22;-19.36
DE000A0WMPJ6;AIXA.DE;Technology;Semiconductor Equipment & Materials;https://www.aixtron.com/;AIXTRON SE;19.97;6.81;2.93;4.5;4.02;0.89;0.1;0.41
DE000A0XFSF0;DMRE.DE;Real Estate;Real Estate Services;https://www.demire.ag/;DEMIRE Deutsche Mittelstand Real Estate AG;0.645;2.07;0.31;-0.11;-0.11;0.19;0.0;6.29
DE000A0XYG76;DR0.DE;Energy;Oil & Gas E&P;https://www.rohstoff.de/;Deutsche Rohstoff AG;45.15;42.1;1.07;-0.86;-0.86;0.43;0.06;26.8
DE000A0XYGA7;TTR1.F;Industrials;Specialty Industrial Machinery;https://www.technotrans.com/;technotrans SE;34.4;10.92;3.15;6.77;6.77;0.68;0.07;11.85
DE000A0XYHT5;IBU.F;Basic Materials;Chemicals;https://www.ibu-tec.de/;IBU-tec advanced materials AG;22.4;9.88;2.27;26.05;5.33;0.75;0.0;-6.89
DE000A0Z1JH9;PSAN.DE;Technology;Software - Application;https://www.psi.de/;PSI Software SE;45.0;1.49;30.2;-38.14;-38.14;0.39;0.03;3.41
DE000A0Z23Q5;ADN1.DE;Technology;Information Technology Services;https://www.adesso.de/;adesso SE;89.0;10.02;8.88;-3.0;-8.0;0.3;0.01;33.1
DE000A0Z2ZZ5;FNTN.DE;Communication Services;Telecom Services;https://www.freenet.ag/;freenet AG;28.32;-0.33;-85.82;-3.4;-3.4;0.49;0.22;27.22
DE000A11Q059;ELB.F;Consumer Cyclical;Luxury Goods;https://www.elumeo.com/;elumeo SE;2.34;0.67;3.49;10.17;4.88;0.24;0.0;-0.12
DE000A11QVV0;HPHA.DE;Healthcare;Biotechnology;https://heidelberg-pharma.com/;Heidelberg Pharma AG;3.05;0.47;6.49;8.03;5.75;0.99;0.0;-5.1
DE000A11QW68;HRPK.DE;Technology;Solar;https://www.solarparken.com/;7C Solarparken AG;1.654;2.13;0.78;-0.6;-0.64;0.47;1.74;2.6
DE000A12DM80;G24.DE;Communication Services;Internet Content & Information;https://www.scout24.com/;Scout24 SE;85.9;-6.26;-13.72;-11.96;-13.72;0.71;0.02;56.78
DE000A12UK08;ECF.DE;Consumer Cyclical;Internet Retail;https://www.mountain-alliance.de/;Mountain Alliance AG;2.38;0;0;0;0;0;0.0;0
DE000A12UP37;NC5A.DE;Industrials;Specialty Business Services;https://www.norcom.de/;NorCom Information Technology GmbH & Co. KGaA;1.595;0.35;4.56;-7.6;2.13;0.72;0.0;-1.85
DE000A12UPJ7;PAL.DE;Communication Services;Entertainment;https://www.pal-next.com/;PAL Next AG;1.44;-0.89;-1.62;-1.62;-1.62;0.0;0.0;-2.35
DE000A13SUL5;DEF.DE;Real Estate;Real Estate Services;https://defama.de/;DEFAMA Deutsche Fachmarkt AG;28.0;9.21;3.04;-0.71;7.02;0.19;0.08;-26.56
DE000A13SX22;HLE.DE;Consumer Cyclical;Auto Parts;https://www.hella.com/;HELLA GmbH & Co. KGaA;79.9;22.36;3.57;-22.63;-22.63;0.53;0.03;14.87
DE000A14KRD3;DKG.DE;Real Estate;REIT - Retail;https://www.deutsche-konsum.de/;Deutsche Konsum REIT-AG;1.83;5.96;0.31;-0.19;-0.19;0.37;0.0;11.17
DE000A161077;HXCK.DE;;;https://www.ernst-russ.de/;Ernst Russ AG;6.96;6.77;1.03;69.6;69.6;0.97;0.0;20.74
DE000A161408;HFG.DE;Consumer Cyclical;Restaurants;https://www.hellofreshgroup.com/;HelloFresh SE;5.85;2.12;2.76;-1.11;-1.11;0.38;0.0;4.25
DE000A161N14;RTV.F;Communication Services;Entertainment;https://www.yfe.tv/;Your Family Entertainment AG;0.87;-0.1;-8.7;-8.7;-8.7;0.9;0.0;-0.48
DE000A161N30;GLJ.DE;Financial Services;Credit Services;https://www.grenke.de/;Grenke AG;15.56;29.49;0.53;-0.24;-0.25;0.19;0.13;-6.23
DE000A1681X5;SNG.F;Industrials;Specialty Industrial Machinery;https://www.singulus.com/;Singulus Technologies AG;1.585;-7.04;-0.23;-0.2;-0.2;-1.06;0.0;1.38
DE000A168205;SVE.DE;Financial Services;Asset Management;https://svb-ag.de/;Shareholder Value Beteiligungen AG;81.5;91.13;0.89;0.89;0.89;1.0;0.0;0.0
DE000A1A6V48;KSC.DE;Technology;Information Technology Services;https://kps.com/;KPS AG;0.536;-0.26;-2.06;-0.58;-0.58;0.42;7.18;1.79
DE000A1A6WE6;AJ91.DE;Healthcare;Health Information Services;https://www.doccheck.ag/;DocCheck AG;13.0;7.78;1.67;3.35;2.72;1.08;0.44;8.8
DE000A1DAHH0;BNR.DE;Basic Materials;Specialty Chemicals;https://www.brenntag.com/;Brenntag SE;50.32;4.72;10.66;-3.92;-24.43;0.43;0.05;27.45
DE000A1EMHE0;GTK.DE;Consumer Defensive;Farm Products;https://www.tonkens-agrar.de/;Tonkens Agrar AG;6.0;7.7;0.78;-0.53;-0.53;0.32;0.0;5.58
DE000A1EWVY8;FYB.F;Healthcare;Biotechnology;https://www.formycon.com/;Formycon AG;24.25;-2.71;-8.95;-1.58;-1.58;0.57;0.0;-12.36
DE000A1EWWW0;ADS.DE;Consumer Cyclical;Footwear & Accessories;https://www.adidas-group.com/;adidas AG;159.85;21.14;7.56;-8.72;31.97;0.3;0.01;83.7
DE000A1EWXA4;ABO.DE;Utilities;Utilities - Renewable;https://www.clearvise.de/;clearvise AG;1.48;2.05;0.72;-0.5;-0.5;0.39;0.0;-0.94
DE000A1H8BV3;NOEJ.F;Industrials;Metal Fabrication;https://www.normagroup.com/;NORMA Group SE;14.88;5.03;2.96;-2.64;74.4;0.55;0.19;16.57
DE000A1K0201;GSC1.DE;Industrials;Specialty Industrial Machinery;https://www.gesco.de/;Gesco SE;15.1;0;0;0;0;0.67;0.16;0
DE000A1K0235;SMHN.DE;Technology;Semiconductor Equipment & Materials;https://www.suss.com/;SUSS MicroTec SE;47.62;13.42;3.55;4.12;4.12;0.77;0.0;9.01
DE000A1ML7J1;VNA.DE;Real Estate;Real Estate Services;https://www.vonovia.de/;Vonovia SE;25.23;27.43;0.92;-0.36;-0.36;0.27;0.17;-19.93
DE000A1MMCC8;ILM1.DE;Healthcare;Medical Distribution;https://www.medios.ag/;Medios AG;15.08;0.01;1508.0;-4.91;-21.86;0.62;0.0;-1.74
DE000A1MME74;NF4.F;Financial Services;Financial Conglomerates;https://www.netfonds.de/;Netfonds AG;42.4;0;0;0;0;0.24;0.0;0
DE000A1PHBB5;RSL2.F;Industrials;Specialty Industrial Machinery;https://r-stahl.com/;R. STAHL AG;14.5;3.78;3.84;-1.39;-1.39;0.29;0.16;2.16
DE000A1PHFF7;BOSS.DE;Consumer Cyclical;Apparel Manufacturing;https://www.hugoboss.com/;Hugo Boss AG;35.0;17.34;2.02;-4.8;-12.28;0.41;0.05;47.48
DE000A1RFMY4;RCMN.DE;Real Estate;Real Estate - Development;https://www.rcm-ag.de/;RCM Beteiligungs AG;1.25;0;0;0;0;0.0;2.52;0
DE000A1RFMZ1;SMWN.DE;Real Estate;REIT - Diversified;https://www.smw-ag.de/;SM Wirtschaftsberatungs AG;5.4;3.96;1.36;11.49;6.84;0.97;0.8;0.0
DE000A1TNNN5;ACWN.DE;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.as-creation.com/;A.S. Création Tapeten AG;7.55;21.75;0.35;0.68;0.68;0.76;0.41;2.55
DE000A1TNU68;SF3.DE;Consumer Cyclical;Auto Parts;https://www.sts.group/;STS Group AG;3.22;4.09;0.79;-0.29;-1.96;0.22;0.0;7.32
DE000A1TNUT7;DBAN.DE;Financial Services;Asset Management;https://www.dbag.com/;Deutsche Beteiligungs AG;24.7;34.75;0.71;0.66;0.66;0.75;0.16;-21.16
DE000A1TNV91;ADE.DE;Financial Services;Asset Management;https://www.bitcoingroup.com/;Bitcoin Group SE;33.3;-18.26;-1.82;-1.81;-1.81;0.74;0.0;0.77
DE000A1TNWJ4;MPCK.DE;Financial Services;Asset Management;https://www.mpc-capital.com/;MPC Münchmeyer Petersen Capital AG;4.95;3.54;1.4;4.5;4.5;1.02;2.91;2.36
DE000A1X3WX6;ERWE.DE;Real Estate;Real Estate - Development;https://www.erwe-ag.com/;ERWE Immobilien AG;0.438;0.98;0.45;-0.06;-0.06;0.11;0.0;-9.91
DE000A1X3YY0;BST.DE;Communication Services;Publishing;https://bastei-luebbe.de/;Bastei Lübbe AG;8.1;4.67;1.73;7.43;7.43;0.59;0.0;2.16
DE000A1YC913;FC9.DE;Real Estate;Real Estate Services;https://fcr-immobilien.de/;FCR Immobilien AG;11.8;14.19;0.83;-0.4;-0.4;0.32;0.22;4.2
DE000A254211;ISHA.DE;Technology;Software - Application;https://www.intershop.com/;INTERSHOP Communications Aktiengesellschaft;1.34;-0.13;-10.31;-1.76;-3.53;0.38;0.0;0.82
DE000A255F11;VH2.DE;Industrials;Engineering & Construction;https://www.friedrich-vorwerk.de/;Friedrich Vorwerk Group SE;82.7;12.54;6.59;24.83;24.83;0.75;0.0;17.36
DE000A255G02;DE000A255G02.SG;;;https://twitter.com/YahooFinance;;1.705;0;0;0;0;0;0.0;0
DE000A289B07;TLIK.F;Healthcare;Medical Distribution;https://www.arzneiwerk.ag/;Arzneiwerk AG VIDA;0.25;0.0;0;-0.4;-0.4;0.0;0.0;-1.48
DE000A289V03;93M1.F;Financial Services;Asset Management;https://www.mph-ag.de/;MPH Health Care AG;24.3;64.9;0.37;-10.21;-10.21;0.96;0.19;5.65
DE000A2AA204;DFTK.DE;Financial Services;Capital Markets;https://www.dfag.de/;DF Deutsche Forfait AG;1.75;2.58;0.68;0.9;0.81;3.39;0.0;-0.48
DE000A2AAA75;T3T1.DE;Technology;Information Technology Services;https://www.7p-group.com/;Seven Principles AG;4.86;1.71;2.84;4.15;4.15;0.43;0.0;1.56
DE000A2BPK34;VRL.DE;Technology;Software - Application;https://net-digital.com/;Net-Digital AG;17.6;0.38;46.32;47.57;47.57;0.52;0.0;-2.25
DE000A2DA588;MXHN.F;Industrials;Specialty Industrial Machinery;https://www.maxautomation.com/;MAX Automation SE;4.31;4.16;1.04;13.47;3.99;0.56;0.62;5.84
DE000A2DAM03;AAG.DE;Industrials;Specialty Industrial Machinery;https://www.aumann.com/;Aumann AG;12.28;10.43;1.18;1.47;1.47;1.12;0.0;15.23
DE000A2E4K43;DHER.DE;Consumer Cyclical;Internet Retail;https://www.deliveryhero.com/;Delivery Hero SE;25.42;-11.84;-2.15;-1.58;-1.58;0.3;0.0;-17.22
DE000A2E4MK4;NUVA.DE;Real Estate;Real Estate - Development;https://www.noratis.de/;Noratis AG;0.318;6.74;0.05;0.07;0.07;0.15;15.31;0.81
DE000A2E4SV8;CYR.DE;Technology;Software - Infrastructure;https://www.cyansecurity.com/;cyan AG;2.24;0.1;22.4;44.8;44.8;0.94;0.0;-2.11
DE000A2E4T77;2HRA.DE;Basic Materials;Specialty Chemicals;https://www.hur.com/;H&R GmbH & Co. KGaA;4.46;10.33;0.43;-1.15;-1.15;0.46;0.96;2.0
DE000A2GS5D8;DMP.DE;Healthcare;Drug Manufacturers - Specialty & Generic;https://ir.dermapharm.de/;Dermapharm Holding SE;37.15;-8.99;-4.13;-2.27;-2.27;0.31;0.07;15.5
DE000A2GS625;CRZK.F;Financial Services;Asset Management;https://www.cr-capital.de/;CR Energy AG;0.09;16.78;0.01;-3.0;-3.0;0.98;0.0;2.06
DE000A2GS633;AEIN.DE;Technology;Information Technology Services;https://www.allgeier.com/;Allgeier SE;22.7;-9.34;-2.43;-1.75;-1.75;0.31;0.1;-10.95
DE000A2GSU42;DE000A2GSU42.SG;;;https://twitter.com/YahooFinance;;15.75;0;0;0;0;0;0.0;0
DE000A2LQ884;DE000A2LQ884.SG;;;https://twitter.com/YahooFinance;;29.44;0;0;0;0;0;0.0;0
DE000A2N4H07;WEW.DE;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.westwing.com/;Westwing Group SE;11.7;2.3;5.09;-292.5;78.0;0.46;0.0;3.68
DE000A2NB650;MUX.DE;Financial Services;Asset Management;https://www.mutares.com/en/;Mutares SE & Co. KGaA;32.85;27.52;1.19;-0.47;-0.47;0.2;0.17;37.44
DE000A2NBX80;INS.DE;Real Estate;Real Estate - Development;https://www.instone.de/;Instone Real Estate Group SE;8.8;13.92;0.63;0.73;0.73;0.42;0.0;19.02
DE000A2YN504;KTA.DE;Consumer Cyclical;Recreational Vehicles;https://www.knaustabbert.de/;Knaus Tabbert AG;13.5;9.27;1.46;-0.91;-0.91;0.18;0.0;-16.77
DE000A2YN777;EMH.DE;;;https://www.pferdewetten.ag/;pferdewetten.de AG;2.77;0;0;0;0;0;0.0;0
DE000A2YN900;TMV.F;Technology;Software - Application;https://www.teamviewer.com/;TeamViewer SE;5.76;-8.89;-0.65;-0.61;-0.61;0.05;0.0;3.81
DE000A2YNT30;ACT.DE;Basic Materials;Specialty Chemicals;https://www.alzchem.com/;AlzChem Group AG;162.0;19.89;8.14;-100.0;36.57;0.49;0.02;33.39
DE000A2YPDD0;DE000A2YPDD0.SG;;;https://twitter.com/YahooFinance;;9.82;0;0;0;0;0;0.0;0
DE000A3CM708;75S.F;Industrials;Security & Protection Services;https://www.sdm-se.de/;sdm SE;1.42;-1.47;-0.97;-0.9;-0.9;0.23;0.0;0.0
DE000A3CMGN3;HGEA.DE;Consumer Cyclical;Auto Parts;https://hgears.com/;hGears AG;1.6;5.02;0.32;-1.74;-1.74;0.59;0.0;-4.7
DE000A3CQ7F4;BIKE.DE;Consumer Cyclical;Internet Retail;https://corporate.bike24.com/;Bike24 Holding AG;3.03;0.27;11.22;-11.65;10.82;0.6;0.0;-1.26
DE000A3CRRN9;DE000A3CRRN9.SG;;;https://twitter.com/YahooFinance;;0.574;0;0;0;0;0;0.0;0
DE000A3E5A59;SBX.DU;;;https://www.synbiotic.com/;SynBiotic SE;2.955;0;0;0;0;0;0.0;0
DE000A3E5C24;CDZ0.MU;Consumer Cyclical;Lodging;https://www.mhphotels.com/;MHP Hotel AG;1.38;0;0;0;0;0.47;0.0;0
DE000A3E5E55;HP3A.DE;Industrials;Tools & Accessories;https://ringmetall.de/;Ringmetall SE;2.76;0.96;2.88;-3.37;-3.37;0.53;0.92;-1.07
DE000A3E5ED2;VEZ.DE;Consumer Defensive;Packaged Foods;https://planethic.group/;Planethic Group AG;7.06;-5.91;-1.19;-0.79;-0.85;0.08;0.0;-63.03
DE000A3H2101;AAQ1.DE;Healthcare;Medical Devices;https://www.aap.de/;aap Implantate AG;1.63;0.63;2.59;6.27;6.27;0.78;0.0;-1.42
DE000A3H2135;MA10.DE;Technology;Software - Application;https://www.binect.com/;Binect AG;1.52;0.86;1.77;2.27;1.69;0.89;0.0;-0.03
DE000A3H2200;NA9.DE;Technology;Information Technology Services;https://www.nagarro.com/;Nagarro SE;68.2;-4.73;-14.42;-7.7;-7.7;0.37;0.0;26.95
DE000A3H2333;HABA.DE;Real Estate;REIT - Diversified;https://www.hamborner.de/;Hamborner REIT AG;4.625;5.05;0.92;0.92;0.92;0.36;1.01;10.23
DE000A3H3L44;DE000A3H3L44.SG;;;https://twitter.com/YahooFinance;;10.9;0;0;0;0;0;0.0;0
DE000BASF111;BAS.DE;Basic Materials;Chemicals;https://www.basf.com/;BASF SE;44.59;26.46;1.69;1.69;1.69;0.46;0.15;30.61
DE000BAY0017;BAYN.DE;Healthcare;Drug Manufacturers - General;https://www.bayer.com/;Bayer Aktiengesellschaft;41.51;-20.58;-2.02;-0.92;-0.92;0.31;0.08;46.49
DE000CBK1001;CBK.DE;Financial Services;Banks - Regional;https://www.commerzbank.com/;Commerzbank AG;34.95;28.33;1.23;1.23;1.23;0.06;0.08;-3.54
DE000DTR0CK8;DTG.F;Industrials;Farm & Heavy Construction Machinery;https://www.daimlertruck.com/;Daimler Truck Holding AG;41.38;24.3;1.7;-2.45;-3.96;0.34;0.0;2.33
DE000DWS1007;DWS.DE;Financial Services;Asset Management;https://www.dws.com/;DWS Group GmbH & Co. KGaA;59.35;18.09;3.28;-4.52;-4.58;0.72;0.09;19.47
DE000ENAG999;EOAN.DE;Utilities;Utilities - Diversified;https://www.eon.com/;E.ON SE;17.42;-0.93;-18.73;-0.67;-0.71;0.17;0.25;2.89
DE000ENER6Y0;ENR.DE;Industrials;Specialty Industrial Machinery;https://www.siemens-energy.com/;Siemens Energy AG;136.3;-1.39;-98.06;-9.81;-15.31;0.22;0.0;29.75
DE000EVNK013;EVK.DE;Basic Materials;Specialty Chemicals;https://evonik.com/;Evonik Industries AG;13.04;7.4;1.76;-1.16;-3.42;0.47;0.45;16.78
DE000FPH9000;FPH.HM;;;https://www.fp-francotyp.com/;Francotyp-Postalia Holding AG;2.51;0;0;0;0;0;0.0;0
DE000FTG1111;FTK.DE;Financial Services;Capital Markets;https://flatexdegiro.com/;flatexDEGIRO SE;38.28;3.0;12.76;41.16;41.16;0.4;0.0;33.21
DE000HAG0005;HAG.DE;Industrials;Aerospace & Defense;https://www.hensoldt.net/;Hensoldt AG;92.85;-7.88;-11.78;-7.57;-8.95;0.22;0.0;3.22
DE000HLAG475;HLAG.DE;Industrials;Marine Shipping;https://www.hapag-lloyd.com/;Hapag-Lloyd Aktiengesellschaft;120.2;95.99;1.25;-10.91;-10.91;0.79;0.11;344.62
DE000JST4000;JST.F;Consumer Cyclical;Auto Parts;https://www.jost-world.com/;JOST Werke SE;61.5;7.6;8.09;-6.36;-75.0;0.48;0.0;9.4
DE000KBX1006;KBX.DE;Consumer Cyclical;Auto Parts;https://www.knorr-bremse.com/;Knorr-Bremse AG;100.5;7.62;13.19;-14.06;-14.06;0.42;0.02;24.67
DE000KC01000;KCO.DE;Basic Materials;Steel;https://www.kloeckner.com/;Klöckner & Co SE;11.04;15.11;0.73;2.55;2.55;0.5;0.0;-1.8
DE000KGX8881;KGX.DE;Industrials;Farm & Heavy Construction Machinery;https://www.kiongroup.com/;KION GROUP AG;63.9;2.86;22.34;-1.19;-1.53;0.34;0.03;27.18
DE000KSAG888;SDF.DE;Basic Materials;Agricultural Inputs;https://www.kpluss.com/;K+S Aktiengesellschaft;13.19;33.86;0.39;-2.37;-2.37;0.71;0.18;40.22
DE000LEG1110;LEG.DE;Real Estate;Real Estate Services;https://www.leg-wohnen.de/unternehmen;LEG Immobilien SE;64.2;98.9;0.65;-0.43;-0.43;0.38;0.05;-65.85
DE000LS1LUS9;LUS1.DE;Financial Services;Capital Markets;https://www.ls-d.de/;Lang & Schwarz Aktiengesellschaft;24.2;6.18;3.92;4.17;4.17;4.19;0.28;7.99
DE000PAG9113;P911.DE;Consumer Cyclical;Auto Manufacturers;https://www.porsche.com/international;Dr. Ing. h.c. F. Porsche AG;42.21;15.48;2.73;-3.77;-8.58;0.52;0.0;21.34
DE000PAH0038;PAH3.DE;Consumer Cyclical;Auto Manufacturers;https://www.porsche-se.com/;Porsche Automobil Holding SE;37.51;114.64;0.33;-2.16;-2.16;0.87;0.08;-9.62
DE000PAT1AG3;PAT.DE;Real Estate;Real Estate Services;https://www.patrizia.ag/;PATRIZIA SE;8.28;8.52;0.97;-2.28;-2.28;0.71;0.0;1.18
DE000PSM7770;PSM.DE;Communication Services;Broadcasting;https://www.prosiebensat1.com/;ProSiebenSat.1 Media SE;4.85;0;0;0;0;0;1.52;0
DE000RENK730;R3NK.F;Industrials;Aerospace & Defense;https://www.renk.com/;RENK Group AG;62.03;0.8;77.54;-22.47;-68.92;0.31;0.0;2.82
DE000SHL1006;SHL.F;Healthcare;Medical Devices;https://www.siemens-healthineers.com/;Siemens Healthineers AG;46.47;-5.01;-9.28;2.88;2.51;-0.0;0.04;12.49
DE000STRA555;SBS.F;Healthcare;Medical Devices;https://www.stratec.com/;Stratec SE;23.6;10.58;2.23;13.64;3.65;0.61;0.06;7.31
DE000SYM9999;SY1.DE;Basic Materials;Specialty Chemicals;https://www.symrise.com/;Symrise AG;73.46;8.95;8.21;-8.3;-8.3;0.52;0.01;9.37
DE000TKMS001;TKMS.DE;Industrials;Aerospace & Defense;https://www.tkmsgroup.com/;TKMS AG & Co KGaA;98.0;0;0;0;0;0;0.0;0
DE000TLX1005;TLX.DE;Financial Services;Insurance - Diversified;https://www.talanx.com/;Talanx AG;111.4;40.27;2.77;2.27;2.27;0.07;0.03;26.78
DE000TRAT0N7;8TRA.DE;Industrials;Farm & Heavy Construction Machinery;https://traton.com/;Traton SE;31.04;8.59;3.61;-0.62;-0.62;0.29;0.12;-15.73
DE000WACK012;WAC.DE;Industrials;Farm & Heavy Construction Machinery;https://wackerneusongroup.com/;Wacker Neuson SE;23.8;15.11;1.58;85.0;85.0;0.62;0.13;14.19
DE000WAF3001;WAF.DE;Technology;Semiconductors;https://www.siltronic.com/;Siltronic AG;55.25;65.84;0.84;-0.88;-1.87;0.46;0.05;-87.51
DE000WCH8881;WCH.F;Basic Materials;Specialty Chemicals;https://www.wacker.com/;Wacker Chemie AG;71.4;88.18;0.81;-5.17;2.9;0.57;0.07;56.78
DE000ZAL1111;ZAL.DE;Consumer Cyclical;Internet Retail;https://corporate.zalando.com/;Zalando SE;25.72;8.73;2.95;50.43;8.17;0.5;0.0;5.41
DE000ZEAL241;TIMA.DE;Consumer Cyclical;Gambling;https://www.zealnetwork.de/;ZEAL Network SE;50.2;-1.58;-31.77;-19.53;-21.0;0.72;0.05;27.01
DK0060448595;COLO-B.CO;Healthcare;Medical Instruments & Supplies;https://www.coloplast.com/;Coloplast A/S;577.4;-54.98;-10.5;-6.61;-8.02;0.38;0.0;-10.67
DK0061539921;VWS.CO;Industrials;Specialty Industrial Machinery;https://www.vestas.com/;Vestas Wind Systems A/S;184.7;0.14;1319.29;-36.94;-36.94;0.17;0.01;4.16
ES0148396007;ITX.MC;Consumer Cyclical;Apparel Retail;https://www.inditex.com/;Industria de Diseño Textil, S.A.;55.86;5.8;9.63;133.0;12.75;0.85;0.04;11.76
