ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
ISIN;Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Cours/VANEPA;Solvabilité;Rendement dividende %;FCFPA actualisés
FR0000120966;BB.PA;Consumer Defensive;Household & Personal Products;https://fr.bic.com/fr;Société BIC SA;53.0;30.01;1.77;4.66;2.28;0.75;0.08;36.26
FR0000121014;MC.PA;Consumer Cyclical;Luxury Goods;https://www.lvmh.com/;LVMH Moët Hennessy - Louis Vuitton, Société Européenne;609.2;41.33;14.74;-8.89;79.43;0.5;0.0;189.73
FR0000121121;RF.PA;Financial Services;Asset Management;https://www.eurazeo.com/en;Eurazeo SE;53.05;97.94;0.54;-2.13;-2.13;0.78;0.04;-72.94
FR0000121147;FRVIA.PA;Consumer Cyclical;Auto Parts;https://www.forvia.com/;Forvia SE;13.99;-29.42;-0.48;-0.2;-0.25;0.17;0.15;-9.36
FR0000121204;MF.PA;Financial Services;Asset Management;https://www.wendelgroup.com/en/;Wendel SE;80.65;-69.1;-1.17;-0.58;-0.65;0.27;0.05;209.98
FR0000121220;SW.PA;Industrials;Specialty Business Services;https://www.sodexo.com/;Sodexo S.A.;41.7;0;0;0;0;-0.0;0.07;0
FR0000121329;HO.PA;Industrials;Aerospace & Defense;https://www.thalesgroup.com/;Thales S.A.;261.6;-19.08;-13.71;-4.8;-5.93;0.21;0.01;60.77
FR0000121485;KER.PA;Consumer Cyclical;Luxury Goods;https://www.kering.com/;Kering SA;288.7;-5.13;-56.28;-2.17;-2.17;0.39;0.01;114.12
FR0000121667;EL.PA;Healthcare;Medical Instruments & Supplies;https://www.essilorluxottica.com/;EssilorLuxottica Société anonyme;271.0;-5.84;-46.4;-8.94;-16.45;0.65;0.01;17.4
FR0000121709;SK.PA;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.groupeseb.com/;SEB SA;48.72;-1.66;-29.35;-1.48;-4.93;0.4;0.05;61.4
FR0000121964;LI.PA;Real Estate;REIT - Retail;https://www.klepierre.com/;Klépierre SA;33.06;28.36;1.17;-0.82;-0.82;0.42;0.22;34.97
FR0000121972;SU.PA;Industrials;Specialty Industrial Machinery;https://www.se.com/;Schneider Electric S.E.;235.15;-3.69;-63.73;-63.73;-63.73;0.47;0.01;40.08
FR0000124141;VIE.PA;Industrials;Waste Management;https://www.veolia.com/fr;Veolia Environnement SA;29.82;-10.03;-2.97;-0.68;-0.85;0.21;0.12;49.3
FR0000125007;SGO.PA;Industrials;Building Products & Equipment;https://www.saint-gobain.com/;Compagnie de Saint-Gobain S.A.;83.94;11.9;7.05;-2.92;135.39;0.47;0.04;19.67
FR0000125338;CAP.PA;Technology;Information Technology Services;https://www.capgemini.com/;Capgemini SE;141.6;-8.27;-17.12;-5.26;-6.33;0.52;0.01;92.14
FR0000125486;DG.PA;Industrials;Engineering & Construction;https://www.vinci.com/;Vinci SA;117.45;-55.17;-2.13;-1.26;-1.5;0.26;0.03;69.56
FR0000127771;VIV.PA;Communication Services;Entertainment;https://www.vivendi.com/;Vivendi SE;2.422;4.59;0.53;-1.12;-1.12;0.68;1.3;0.02
FR0000130213;MMB.PA;Consumer Cyclical;Specialty Retail;https://www.lagardere.com/;Lagardere SA;18.92;-13.24;-1.43;-0.48;-0.48;0.09;0.3;45.81
FR0000130395;RCO.PA;Consumer Defensive;Beverages - Wineries & Distilleries;https://www.remy-cointreau.com/;Rémy Cointreau SA;40.7;27.49;1.48;2.37;1.85;0.58;0.05;6.69
