Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANNPA;Solvabilité
F3C.DE;Industrials;Specialty Industrial Machinery;https://www.sfc.com/;SFC Energy AG;22,8;9,02;5,43;1,1
G6P.DE;Communication Services;Publishing;https://www.goingpublic.ag/;Going Public Media Aktiengesellschaft;1,42;0;0;0
VIB3.DE;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.villeroyboch-group.com/;Villeroy & Boch AG;17,6;85,16;3,07;0,55
VOW.DE;Consumer Cyclical;Auto Manufacturers;https://www.volkswagen-group.com/;Volkswagen AG;141,5;2108,53;-0,24;0,33
VOW3.DE;Consumer Cyclical;Auto Manufacturers;https://www.volkswagen-group.com/;Volkswagen AG;121,2;3017,49;-0,15;0,33
VOS.DE;Industrials;Railroads;https://www.vossloh.com/;Vossloh AG;46,7;78,94;-7,16;0,48
4DS.DE;Energy;Oil & Gas Drilling;https://www.daldrup.eu/;Daldrup & Söhne Aktiengesellschaft;8,1;6,06;4,33;0,6
V6C.DE;Technology;Scientific & Technical Instruments;https://www.viscom.com/;Viscom AG;5,62;12,27;1,75;0,5
ZIL2.DE;Consumer Cyclical;Auto Parts;https://www.elringklinger.com/;ElringKlinger AG;6,17;32,52;-2,24;0,44
KA8.DE;Communication Services;Broadcasting;https://www.klassikradio.de/;Klassik Radio AG;4,46;2,28;-3,21;0,4
PBB.DE;Financial Services;Mortgage Finance;https://www.pfandbriefbank.com/;Deutsche Pfandbriefbank AG;5,745;363,76;-0,02;0,07
EFF.DE;Financial Services;Asset Management;https://www.dewb.de/;Deutsche Effecten- und Wechsel-Beteiligungsgesellschaft AG;0,685;1,9;-0,74;0,48
WUW.DE;Financial Services;Insurance—Life;https://www.ww-ag.com/;Wüstenrot & Württembergische AG;13,08;732,83;-0,02;0,07
MBK.DE;Financial Services;Banks—Regional;https://www.merkur-privatbank.de/;Merkur PrivatBank KgaA;15,9;516,6;-0,03;0
LHA.DE;Industrials;Airlines;https://www.lufthansagroup.com/;Deutsche Lufthansa AG;6,8;38,37;-0,39;0,24
TEG.DE;Real Estate;Real Estate Services;https://www.tag-ag.com/;TAG Immobilien AG;14,68;41,62;-0,76;0,41
HNR1.DE;Financial Services;Insurance—Reinsurance;https://www.hannover-re.com/;Hannover Rück SE;224,8;535,64;-0,5;0,15
ALV.DE;Financial Services;Insurance—Diversified;https://www.allianz.com/;Allianz SE;263,3;2511,56;-0,11;0,06
MUV2.DE;Financial Services;Insurance—Reinsurance;https://www.munichre.com/;Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München;446;2034,12;-0,25;0,11
NBG6.DE;Financial Services;Insurance—Diversified;https://www.nuernberger.de/;NÜRNBERGER Beteiligungs-AG;63,5;3037,74;-0,02;0,03
PA8.DE;;;https://finance.yahoo.com/sector/communication_services;;0;0;0;0
JDC.DE;Financial Services;Financial Conglomerates;https://www.jdcgroup.de/;JDC Group AG;23,8;10,24;-11,23;0,54
CORE.DE;Real Estate;Real Estate Services;https://www.coreo.de/;Coreo AG;0,26;4,59;-0,11;0,3
V3V.DE;Healthcare;Medical Care Facilities;https://www.vita34.de/;VITA 34 AG;4,76;5,31;-0,8;0,09
OSP2.DE;Technology;Information Technology Services;https://www.usu.com/;USU Software AG;18,1;6,49;-32,32;0,61
NDX1.DE;Industrials;Specialty Industrial Machinery;https://www.nordex-online.com/;Nordex SE;14,98;18,84;-3,73;0,22
MTX.DE;Industrials;Aerospace & Defense;https://www.mtu.de/;MTU Aero Engines AG;237,5;167,45;-7,63;0,33
S92.DE;Technology;Solar;https://www.sma.de/;SMA Solar Technology AG;49,44;47,73;6,18;0,5
ACX.DE;Consumer Cyclical;Gambling;https://www.bet-at-home.ag/;bet-at-home.com AG;2,42;7,8;1,81;1
H5E.DE;Consumer Cyclical;Residential Construction;https://www.helma.de/;HELMA Eigenheimbau Aktiengesellschaft;0,26;108,57;0,01;0,26
MBB.DE;Industrials;Conglomerates;https://www.mbb.com/;MBB SE;108,6;192,23;1,8;0,66
ISPA.DE;;;;iShares STOXX Global Select Dividend 100 UCITS ETF (DE);29,36;0;0;0
EXH6.DE;;;;iShares STOXX Europe 600 Media UCITS ETF (DE);39,915;0;0;0
MVV1.DE;Utilities;Utilities—Diversified;https://www.mvv.de/;MVV Energie AG;30,6;150,48;-1,08;0,23
P4O.DE;Technology;Scientific & Technical Instruments;https://www.planoptik.com/;Plan Optik AG;3,44;3,5;2,28;1,05
CLIQ.DE;Communication Services;Entertainment;https://www.cliqdigital.com/;Cliq Digital AG;9,22;14,62;1,8;0,74
2GB.DE;Industrials;Specialty Industrial Machinery;https://www.2-g.com/;2G Energy AG;26,65;12,11;5,72;0,58
DWNI.DE;Real Estate;Real Estate Services;https://www.deutsche-wohnen.com/;Deutsche Wohnen SE;18,5;73;-0,65;0,53
IC8.DE;Real Estate;Real Estate Services;https://www.incity.ag/;InCity Immobilien AG;1,03;1,84;-1,34;0,52
PNE3.DE;Utilities;Utilities—Renewable;https://www.pne-ag.com/;PNE AG;14,7;13,57;-2,53;0,21
D6H.DE;Technology;Information Technology Services;https://www.datagroup.de/;DATAGROUP SE;49,35;33,48;-2,27;0,33
M0YN.DE;Technology;Communication Equipment;https://www.mynaric.com/;Mynaric AG;18,9;19,91;-2,83;0,11
LIK.DE;Healthcare;Medical Care Facilities;https://www.limes-schlosskliniken.de/;LIMES Schlosskliniken AG;334;0;0;0,59
GTY.DE;Real Estate;Real Estate—Development;https://www.gateway-re.de/;Gateway Real Estate AG;0,36;8,09;-3,6;0,24
VBK.DE;Basic Materials;Specialty Chemicals;https://www.verbio.de/;Verbio SE;22,92;21,07;7,69;0,76
B7E.DE;Financial Services;Asset Management;https://www.blue-cap.de/;Blue Cap AG;18,9;41,61;-1,81;0,41
M5Z.DE;Technology;Semiconductor Equipment & Materials;https://www.manz.com/;Manz AG;7,98;35,61;-14,78;0,36
M4N.DE;;;https://www.muehlhan.com/;Muehlhan AG;1,645;0;0;0
V3S.DE;Technology;Software—Application;https://www.vectron-systems.com/;Vectron Systems AG;8,58;9,02;-2,85;0,32
H9Y.DE;Consumer Cyclical;Recreational Vehicles;https://www.hanseyachtsag.com/;HanseYachts AG;2,44;5,66;-0,9;0,07
A4Y.DE;Real Estate;Real Estate Services;https://www.accentro.ag/;ACCENTRO Real Estate AG;0,44;23,3;-0,06;0,26
E8X.DE;Healthcare;Medical Devices;https://www.elexxion.com/;elexxion AG;0,094;0;0;0
T5O.DE;Healthcare;Biotechnology;https://cytotools.de/;bioXXmed AG;0,496;4,15;2,76;1,04
NTG.DE;Basic Materials;Specialty Chemicals;https://www.nabaltec.de/;Nabaltec AG;15,05;31,82;6,27;0,79
CE2.DE;;;https://finance.yahoo.com/sector/consumer_cyclical;;0;0;0;0
M3V.DE;Healthcare;Health Information Services;https://www.mevis.de/;MeVis Medical Solutions AG;26,4;15,41;41,9;0,88
CFC.DE;Technology;Communication Equipment;https://www.uet-group.com/;UET United Electronic Technology AG;1,05;2,81;-0,81;0,09
AOX.DE;Real Estate;REIT—Office;https://www.alstria.com/;alstria office REIT-AG;3,5;23,73;-0,25;0,39
GXI.DE;Healthcare;Medical Instruments & Supplies;https://www.gerresheimer.com/;Gerresheimer AG;101,1;100,44;-3,06;0,43
H9W.DE;Consumer Cyclical;Auto Parts;https://www.hwaag.com/;HWA AG;4,44;10,62;5,77;0,32
ST5.DE;Basic Materials;Lumber & Wood Production;https://www.steico.com/;STEICO SE;37,5;41,55;-3,91;0,57
EXL.DE;Technology;Software—Infrastructure;https://www.exasol.com/;Exasol AG;2,66;0,69;-14;0,05
BWQ.DE;Technology;Software—Application;https://www.advancedblockchain.com/;Advanced Blockchain AG;4,19;3,84;1,92;0,67
M7U.DE;Technology;Scientific & Technical Instruments;https://www.nynomic.com/;Nynomic AG;29,6;15,2;6,23;0,75
ETG.DE;Utilities;Utilities—Renewable;https://www.envitec-biogas.de/;EnviTec Biogas AG;31,2;27,69;15,37;0,64
DLX.DE;Basic Materials;Lumber & Wood Production;https://www.delignit-ag.de/;Delignit AG;3,38;4,42;1,81;0,97
NFN.DE;Technology;Software—Infrastructure;https://www.nfon.com/;NFON AG;6,2;2,32;-47,69;0,77
HHFA.DE;Industrials;Marine Shipping;https://hhla.de/;Hamburger Hafen und Logistik Aktiengesellschaft;16,86;39;-0,73;0,27
NB2.DE;Technology;Information Technology Services;https://northerndata.de/;Northern Data AG;26,95;0;0;0
M12.DE;Healthcare;Medical Care Facilities;https://www.m1-kliniken.de/;M1 Kliniken AG;16,4;11,09;5,14;0,64
JZ6.DE;Consumer Cyclical;Residential Construction;https://www.eigenheim-union-beteiligung.de/;Eigenheim Union 1898 Beteiligungs AG;0,103;1,44;-1,14;0,77
VAR1.DE;Industrials;Electrical Equipment & Parts;https://www.varta-ag.com/;Varta AG;11,59;26,87;-0,9;0,16
DAR.DE;Industrials;Specialty Industrial Machinery;https://www.datron.de/;DATRON AG;9,6;12,24;1,27;0,96
