ISIN;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
DE000A1PHFF7;Consumer Cyclical;Apparel Manufacturing;https://www.hugoboss.com/;Hugo Boss AG;39.71;48.64;0.82;0.69;0.37;0.04
NO0012953720;Energy;Oil & Gas Midstream;https://www.huntergroup.no/;Hunter Group ASA;0.82;0.17;4.82;4.56;0.95;0.0
FR0014007LQ2;Consumer Cyclical;Specialty Retail;https://www.hunyvers.com/;Hunyvers SA;8.72;19.55;0.45;0.26;0.37;0.0
GB00B9275X97;Healthcare;Biotechnology;https://www.hvivo.com/;hVIVO plc;21.1;0.11;191.82;140.67;0.41;0.0
GB00BYN5BY03;Technology;Software - Application;https://www.hybridsoftware.group/;Hybrid Software Group PLC;3.7;1.03;3.59;2.5;0.86;0.0
FR0004153930;;;https://twitter.com/YahooFinance;;0.0109;0;0;0;4.55;0.0
NL0009391242;Industrials;Farm & Heavy Construction Machinery;https://www.hydratec.nl/;Hydratec Industries NV;160.0;150.18;1.07;0.86;0.45;0.02
FR0005843125;Industrials;Engineering & Construction;https://www.hydro-exploitations.fr/;Hydro-Exploitations Societe Anonyme;118.0;0;0;0;0.71;0.02
FR0014001PM5;;;https://twitter.com/YahooFinance;;2.99;0;0;0;0;0.0
NO0010892359;;;https://twitter.com/YahooFinance;;0.358;0;0;0;0;0.0
BE0974363955;Healthcare;Biotechnology;https://hyloris.com/;Hyloris Pharmaceuticals SA;5.4;1.57;3.44;3.44;1.42;0.0
NO0010920945;;;;;0.2;0.0;0;0;0;0.0
FR0000051393;Financial Services;Asset Management;https://www.idi.fr/en;IDI;67.4;120.68;0.56;3.61;1.08;0.07
CH1118852594;Communication Services;Entertainment;https://www.idntt.ch/;IDNTT SA;2.78;1.38;2.01;1.23;0.48;0.0
FR0000079691;Technology;Software - Application;https://idsfrance.com/;IDS France SAS;0.49;0.0;0;0;0;0.0
