ISIN;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
ES0113900J37;Financial Services;Banks - Diversified;https://www.santander.com/;Banco Santander, S.A.;4.643;0;0;0;0.06;1.1
BE0003870871;Real Estate;Real Estate - Development;https://www.banimmo.be/;Banimmo SA;2.9;13.57;0.21;0.23;0.48;1.54
IE00BD1RP616;Financial Services;Banks - Regional;https://www.bankofireland.com/;Bank of Ireland Group plc;8.39;0;0;0;0.08;1.64
FR0000062788;Consumer Cyclical;Apparel Manufacturing;https://www.barbarabui.com/;Barbara Bui SA;5.9;0;0;0;0.14;0.0
BE0974362940;Technology;Electronic Components;https://www.barco.com/;Barco NV;10.5;11.76;0.89;0.83;0.75;0.21
DE000BASF111;Basic Materials;Chemicals;https://www.basf.com/;BASF SE;43.965;75.8;0.58;0.51;0.44;0.15
NL0011872650;Consumer Cyclical;Leisure;https://www.basic-fit.com/;Basic-Fit N.V.;21.94;45.24;0.48;0.48;0.13;0.0
IT0001033700;Consumer Cyclical;Apparel Retail;https://www.basic.net/;BasicNet S.p.A.;7.46;7.29;1.02;0.65;0.36;0.38
BE0003674851;Real Estate;Real Estate Services;https://www.basilix.be/;Basilix Cert;27.8;0;0;0;29.59;0.88
FR0004023208;Real Estate;Real Estate - Development;https://www.bassac.fr/;BASSAC Société anonyme;39.9;126.39;0.32;0.2;0.4;0.12
FR0000035370;Healthcare;Medical Distribution;https://www.bastideleconfortmedical.com/;Bastide Le Confort Médical SA;20.5;96.44;0.21;0.19;0.13;0.04
IT0004412497;Industrials;Specialty Business Services;https://www.bastogi.com/;Bastogi S.p.A.;0.399;2.81;0.14;0.11;0.09;0.0
DE000BAY0017;Healthcare;Drug Manufacturers - General;https://www.bayer.com/;Bayer Aktiengesellschaft;20.015;97.8;0.2;0.18;0.29;0.21
ES0113211835;Financial Services;Banks - Diversified;https://www.bbva.com/;Banco Bilbao Vizcaya Argentaria, S.A.;9.554;0;0;0;0.07;0.57
IT0000784196;Financial Services;Banks - Regional;https://www.popso.it/;Banca Popolare di Sondrio S.p.A;8.01;125.98;0.06;0.07;0.07;0.28
IT0001073045;Financial Services;Banks - Regional;https://www.bancaprofilo.it/;Banca Profilo S.p.A.;0.1865;3.86;0.05;0.05;0.07;10.19
IT0001041000;Financial Services;Banks - Regional;https://www.bancodesio.it/;Banco di Desio e della Brianza S.p.A.;6.0;134.94;0.04;0.05;0.08;0.65
FR0000035305;Communication Services;Telecom Services;https://www.bdmultimedia.fr/;BD Multimedia SA;1.0;1.35;0.74;0.57;0.46;0.0
NL0012866412;Technology;Semiconductor Equipment & Materials;https://www.besi.com/;BE Semiconductor Industries N.V.;123.9;12.93;9.58;5.94;0.4;0.03
IT0001487047;;;https://www.beewize.it/;Beewize S.p.A.;0.55;1.11;0.5;0.83;0.33;0.0
IT0001223277;Industrials;Electrical Equipment & Parts;https://www.beghelli.com/;Beghelli S.p.A.;0.231;0.93;0.25;0.18;0.35;16.71
DE0005200000;Consumer Defensive;Household & Personal Products;https://www.beiersdorf.com/;Beiersdorf Aktiengesellschaft;123.0;51.93;2.37;2.66;0.72;0.01
BE0974258874;Industrials;Metal Fabrication;https://www.bekaert.com/;NV Bekaert SA;33.64;73.86;0.46;0.42;0.52;0.1
FR0014003FE9;Communication Services;Entertainment;https://www.believe.com/;Believe S.A.;14.6;8.25;1.77;1.13;0.42;0.0
IT0005497042;Consumer Cyclical;Recreational Vehicles;https://www.bellininautica.it/;Bellini Nautica S.p.A.;2.92;2.22;1.32;0.86;0.48;0.0
NO0003094104;Industrials;Marine Shipping;https://www.belships.com/;Belships ASA;17.02;3.47;4.9;5.46;0.32;0.0
BE0974314461;Consumer Cyclical;Textile Manufacturing;https://www.belysse.com/;Belysse Group NV;0.685;7.8;0.09;0.07;0.27;0.0
GB00BGHPT808;Consumer Defensive;Packaged Foods;https://www.benchmarkplc.com/;Benchmark Holdings plc;36.2;0.3;120.67;90.5;0.61;0.0
FR0000035164;;;https://twitter.com/YahooFinance;;8.25;23.39;0.35;0.25;0.41;0.21
IT0005244402;Financial Services;Credit Services;https://www.bff.com/;BFF Bank S.p.A.;9.035;64.92;0.14;0.15;0.07;0.0
IT0004222102;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.bialetti.com/;Bialetti Industrie S.p.A;0.1825;1.04;0.18;0.13;0.14;0.0
FR0000120966;Consumer Defensive;Household & Personal Products;https://fr.bic.com/fr;Société BIC SA;62.5;54.88;1.14;1.13;0.76;0.07
NO0012706763;Financial Services;Banks - Regional;https://www.bien.no/;Bien Sparebank ASA;121.0;945.53;0.13;0.15;0.13;0.0
IT0003097257;Industrials;Specialty Industrial Machinery;https://www.biesse.com/;Biesse S.p.A.;7.94;20.91;0.38;0.25;0.37;0.31
IT0005495335;Industrials;Building Products & Equipment;https://www.bifire.it/;BIFIRE S.p.A.;2.5;3.15;0.79;0.89;0.69;0.0
FR0000074072;Technology;Consumer Electronics;https://www.bigben-group.com/;BigBen Interactive;1.43;33.72;0.04;0.04;0.34;0.0
FR0004174233;Communication Services;Advertising Agencies;https://www.bilendi.fr/;Bilendi SA;12.75;10.23;1.25;0.72;0.52;0.0
FR0013345493;;;https://twitter.com/YahooFinance;;1.666;0;0;0;0;0.0
IT0005516130;Industrials;Conglomerates;https://www.bioera.it/;Bioera S.p.A.;0.0394;0.21;0.19;-0.08;3.93;0.0
NO0010955198;Consumer Defensive;Farm Products;https://biofish.no/;BioFish Holding AS;1.13;2.64;0.43;0.98;0.71;0.0
FR0013280286;Healthcare;Diagnostics & Research;https://www.biomerieux.com/;bioMérieux S.A.;97.7;34.55;2.83;3.14;0.75;0.01
FR001400OLP5;Healthcare;Biotechnology;https://www.biophytis.com/;Institut Biophytis SAS;0.3098;1.99;0.16;0.13;0.42;0.0
BE0974280126;Healthcare;Biotechnology;https://www.biosenic.com/;BioSenic S.A.;0.0056;0.05;0.11;-0.14;2.37;0.0
FR0011005933;Healthcare;Medical Devices;https://www.biosynex.com/;Biosynex SA;1.594;11.57;0.14;0.08;0.56;0.0
BE0974386188;Basic Materials;Agricultural Inputs;https://www.biotalys.com/;Biotalys NV;2.9;0.96;3.02;3.02;0.88;0.0
DE000A1TNV91;Financial Services;Asset Management;https://www.bitcoingroup.com/;Bitcoin Group SE;54.9;15.65;3.51;4.5;0.78;0.0
NO0010755101;Consumer Cyclical;Lodging;https://www.blackseaproperty.no/;Black Sea Property AS;0.127;1.27;0.1;0.15;0.33;0.0
FR0000062150;Real Estate;REIT - Diversified;https://www.bleecker.fr/;Bleecker Société Anonyme;135.0;653.64;0.21;0.32;0.41;0.02
FR0013340973;Utilities;Utilities - Renewable;https://bluesharkpower.eu/;Blue Shark Power System;7.9;0.0;0;0;0;0.0
FR0011041011;Healthcare;Medical Devices;https://www.bluelinea.com/;Bluelinea Société Anonyme;0.905;1.05;0.86;0.91;0.15;0.0
