Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende %
FR0013181864;Energy;Oil & Gas Equipment & Services;https://www.cgg.com/;Viridien Société anonyme;0,475;1,76;0,27;-0,38;0,4;0
FR0000037871;Industrials;Railroads;https://www.cfd.fr/;Compagnie de Chemins de Fer Départementaux Société Anonyme;740;0;0;0;0;0
FR0000051567;Financial Services;Asset Management;https://www.var-et-gard.com/;Société des Chemins de Fer et Tramways du Var et du Gard;7600;0;0;0;0;0
FR0000130692;Consumer Cyclical;Textile Manufacturing;https://www.chargeurs.com/;Chargeurs SA;9,81;24,37;0,4;-1,02;0,33;0,54
FR001400AJ60;Utilities;Utilities - Renewable;https://www.charwood.energy/;Charwood Energy SA;3,24;2,54;1,28;3,81;0,76;0
FR0000060907;Consumer Cyclical;Footwear & Accessories;https://www.lachausseria.com/;Chausseria;9;0;0;0;3,01;0
FR0010447086;Technology;Information Technology Services;https://www.cheops.fr/;Cheops Technology France Société anonyme;63,5;0;0;0;0;0
FR0000130403;Consumer Cyclical;Luxury Goods;https://www.dior-finance.com/;Christian Dior SE;683;517,38;1,32;-3,36;0,17;0
IT0003389522;Real Estate;Real Estate Services;https://www.c-i-a.it/;Compagnia Immobiliare Azionaria S.p.A.;0,0445;0,27;0,16;-0,49;0,57;0
FR0000054322;Technology;Computer Hardware;https://www.ciboxcorp.com/;Cibox Inter@ctive;0,01;0,03;0,33;1;0,51;0
BE0003592038;Financial Services;Asset Management;https://www.bois-sauvage.be/;Compagnie du Bois Sauvage S.A.;250;432,17;0,58;31,33;0,81;0,01
FR0000060428;Consumer Cyclical;Leisure;https://www.compagniedumontblanc.fr/;Compagnie Du Mont-Blanc;126;0;0;0;0;0,02
IT0000070786;Consumer Cyclical;Auto Parts;https://www.cirgroup.it/;CIR S.p.A. - Compagnie Industriali Riunite;0,585;2,7;0,22;-0,48;0,26;3,09
NO0010917594;Healthcare;Biotechnology;https://www.circa-group.com/;Circa Group AS;1,09;0,33;3,3;-36,33;0,82;0
NO0013033795;Healthcare;Biotechnology;https://www.circio.com/;Circio Holding ASA;2,42;2,58;0,94;-0,27;13,16;0
IT0005344996;Technology;Information Technology Services;https://www.circletouch.eu/;Circle S.p.A.;8,2;0;0;0;0;0
IT0005466153;Technology;Scientific & Technical Instruments;https://www.civitanavi.com/;Civitanavi Systems S.p.A.;6,12;0;0;0;0;0
