Ticker;Secteur;Activité;Website;Nom;Cours;VANTPA;Cours/VANTPA;Cours/VANNPA;Solvabilité;Rendement dividende
INEA.PA;Real Estate;Real Estate Services;https://fonciere-inea.com/mentions-legales/;Fonciere Inea S.A.;33,2;108,99;0,3;-0,64;0,5;6,19
CRBP2.PA;Financial Services;Banks - Regional;https://www.ca-briepicardie.fr/;Caisse Régionale de Crédit Agricole Mutuel Brie Picardie Société coopérative;19,19;2821,55;0,01;-0,01;0,12;5,34
FREY.PA;Real Estate;REIT - Retail;https://www.frey.fr/;Frey SA;28,2;75,31;0,37;-0,87;0,45;4,71
PAT.PA;Real Estate;REIT - Retail;https://www.patrimoine-commerce.com/;Patrimoine et Commerce SA;21,2;60,12;0,35;-0,8;0,5;7,44
AXW.PA;Technology;Software - Application;https://www.axway.com/;Axway Software SA;24,7;13,65;1,81;-24,46;0,6;1,92
FGA.PA;Industrials;Aerospace & Defense;https://www.figeac-aero.com/;Figeac Aero Société Anonyme;6,6;13,84;0,48;-1,27;0,11;0
WAGA.PA;Industrials;Specialty Industrial Machinery;https://waga-energy.com/;Waga Energy SA;15,88;7,87;2,02;-14,7;0,62;0
PARP.PA;Consumer Cyclical;Resorts & Casinos;https://www.groupepartouche.com/;Groupe Partouche SA;21;62,14;0,34;-0,82;0,53;0
JBOG.PA;Consumer Defensive;Household & Personal Products;https://www.groupe-bogart.com/;Jacques Bogart S.A.;7,46;23,05;0,32;-1,15;0,26;2,38
TFF.PA;Consumer Cyclical;Packaging & Containers;https://www.tff-group.com/;TFF Group;44,1;34,1;1,29;5,25;0,6;1,16
THEP.PA;Industrials;Industrial Distribution;https://www.thermador-groupe.fr/;Thermador Groupe SA;87,9;45,96;1,91;4,64;0,74;2,62
RBO.PA;Consumer Cyclical;Furnishings, Fixtures & Appliances;https://www.roche-bobois.com/;Roche Bobois S.A.;48,8;42,03;1,16;-3,18;0,27;0
ATLD.PA;Real Estate;REIT - Diversified;https://www.fonciere-atland.fr/;Atland SAS;44,8;100,72;0,44;16,47;0,36;4,14
HDF.PA;Utilities;Utilities - Renewable;https://www.hdf-energy.com/;Hydrogène de France Société anonyme;7;7,88;0,89;1,27;2,64;0
FORSE.PA;Industrials;Electrical Equipment & Parts;https://www.forseepower.com/;Forsee Power Société anonyme;1,11;2,28;0,49;-8,54;0,37;0
AELIS.PA;Healthcare;Biotechnology;https://www.aelisfarma.com/;Aelis Farma SA;13;1,99;6,53;14,44;2,18;0
TRACT.PA;Consumer Cyclical;Specialty Retail;https://www.teract.io/;Teract S.A.;0,822;0;0;0;0;0
ARVEN.PA;Utilities;Utilities - Renewable;https://www.arverne.earth/;Arverne Group S.A.;7,06;0;0;0;0;0
EC.PA;Energy;Oil & Gas E&P;https://ep.totalenergies.ga/;TotalEnergies EP Gabon Société Anonyme;175;660,43;0,26;-2,83;0,75;22,63
ALDV.PA;Real Estate;REIT - Residential;https://www.adcsiic.eu/;Alliance Developpement Capital SIIC;0,09;0,54;0,17;-1,12;0,72;0
BIOS.PA;;;;;0;0;0;0;0;0
CV.PA;Basic Materials;Other Industrial Metals & Mining;https://www.zci.lu/;ZCI Limited;0,2;0;0;0;0;0
TVRB.PA;Industrials;Engineering & Construction;https://www.verbier4vallees.ch/;Téléverbier SA;64;159,59;0,4;-3,06;0,78;0,64
GNRO.PA;Healthcare;Biotechnology;https://www.geneuro.com/;GeNeuro SA;1,85;0,18;10,28;-3,08;3,04;0
FORE.PA;Industrials;Railroads;https://www.forestiere-equatoriale.com/;La Forestière Equatoriale SA;645;0;0;0;0,99;0,87
FAYE.PA;Consumer Defensive;Household & Personal Products;https://fsdv.fr/;Fayenceries de Sarreguemines, Digoin & Vitry-le-Francois Société Anonyme;21,4;0;0;0;0;0
EEM.PA;Financial Services;Asset Management;https://www.eem-group.com/;Electricité et Eaux de Madagascar Société Anonyme;3,3;3,43;0,96;5,41;1,1;0
EGR.PA;Financial Services;Asset Management;https://www.transition-evergreen.com/;Transition Evergreen SA;1,695;4,11;0,41;-3,08;0,8;0
CFI.PA;Real Estate;Real Estate Services;https://www.cfi-france.com/;CFI-Compagnie Foncière Internationale;0,65;0;0;0;91;2,59
FIPP.PA;Real Estate;Real Estate Services;https://www.f-i-p-p.com/;FIPP Société Anonyme;0,129;0,71;0,18;-0,72;0,6;0
PSAT.PA;Consumer Cyclical;Specialty Retail;https://www.passat.fr/;Passat Société Anonyme;6,25;15,58;0,4;0,75;1,06;7,89
EURS.PA;Real Estate;Real Estate Services;https://www.fonciere-euris.fr/;Fonciere Euris SA;0,159;1972,28;0;0;0,12;8,67
AURE.PA;Industrials;Waste Management;https://www.aurea-france.com/;Aurea SA;5,8;22,03;0,26;-4,03;0,41;2,01
CRAP.PA;Financial Services;Banks - Regional;https://www.credit-agricole.fr/ca-alpesprovence/particulier.html;Caisse Régionale de Crédit Agricole Mutuel Alpes Provence Société coopérative;75,76;0;0;0;0,12;3,9
CCN.PA;Financial Services;Banks - Regional;https://www.credit-agricole.fr/ca-normandie-seine/particulier.html;Caisse Régionale de Crédit Agricole Mutuel de Normandie-Seine Société coopérative;80,99;0;0;0;0;4,44
CRLO.PA;Financial Services;Banks - Regional;https://www.ca-loirehauteloire.fr/;Caisse Regionale de Credit Agricole Mutuel de la Loire-Haute-Loire SA;62,5;0;0;0;0,17;3,54
CRTO.PA;Financial Services;Banks - Regional;https://www.ca-tourainepoitou.fr/informations.html;Caisse Régionale de Crédit Agricole Mutuel de la Touraine et du Poitou Société Coopérative;76,69;16016,66;0;-0,01;0,15;3,67
CRSU.PA;Financial Services;Banks - Regional;https://www.credit-agricole.fr/ca-sudrhonealpes;Caisse Régionale de Crédit Agricole Mutuel Sud Rhône Alpes;133,02;0;0;0;0,11;3,8
CAT31.PA;Financial Services;Banks - Regional;https://www.credit-agricole.fr/ca-toulouse31/particulier.html;Caisse Regionale de Credit Agricole Mutuel Toulouse 31;71;3549,97;0,02;-0,02;0,11;4,33
CMO.PA;Financial Services;Banks - Regional;https://www.credit-agricole.fr/ca-morbihan/particulier.html;Caisse Régionale de Crédit Agricole du Morbihan;71,6;8546,62;0,01;-0,01;0,15;2,8
CROS.PA;Real Estate;Real Estate Services;https://www.crosswood.fr/;Crosswood SA;6,15;9,38;0,66;-3,51;0,8;0
GEA.PA;Industrials;Business Equipment & Supplies;https://www.gea.fr/;Grenobloise d'Electronique et d'Automatismes Société Anonyme;81,5;85,01;0,96;1,26;1,97;1,53
SPEL.PA;Real Estate;Real Estate Services;https://www.foncierevolta.com/;Foncière Volta;7,85;23,49;0,33;-1,12;0,5;6,52
DPT.PA;Consumer Cyclical;Luxury Goods;https://www.st-dupont.com/;S.T.Dupont Société Anonyme;0,0558;0,05;1,12;-2,79;0,04;0
SABE.PA;Consumer Defensive;Packaged Foods;https://www.sabeton.fr/;Saint Jean Groupe Société anonyme;21,2;50,99;0,42;-2,51;0,56;1,12
FINM.PA;Industrials;Conglomerates;https://www.financiere-marjos.com/;Financière Marjos SA;0,065;0;0;-1,62;12,56;0
CHSR.PA;Consumer Cyclical;Footwear & Accessories;https://www.lachausseria.com/;Chausseria;9,5;0;0;0;2,45;0
SACI.PA;Industrials;Business Equipment & Supplies;https://www.fiducial-office-solutions.fr/;Fiducial Office Solutions;28,2;0;0;0;0;0
EFI.PA;Real Estate;Real Estate Services;https://www.eurasiafonciereinvestissements.com/;Eurasia Fonciere Investissements Société Anonyme;0,262;0;0;0;0;0
AUGR.PA;Consumer Cyclical;Packaging & Containers;https://www.augros.fr/;Augros Cosmetic Packaging SA;6,7;0;0;0;0;0
BERR.PA;;;https://finance.yahoo.com/sector/industrials;;0;0;0;0;0;0
BUI.PA;Consumer Cyclical;Apparel Manufacturing;https://www.barbarabui.com/;Barbara Bui SA;7,35;0;0;0;0,11;0
